ID,Time,Timesince,ROS Time,Max Velocity,State
0,1.76,0,16:58: 01,0,2
6,46.51,44.75,16:58: 45,0,2
7,61.39,14.88,16:58: 45,0,2
8,69.14,7.75,16:59: 00,0,1
3,72.13,2.99,16:59: 00,0,2
