ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
7,18.86,0,05:50: 34,35,90,0
15,47.23,28.37,05:50: 34,20,86,0
8,47.48,0.25,05:51: 02,20,93,0
0,116.24,68.76,05:51: 02,0,12,0
5,116.37,0.13,05:51: 02,0,23,0
6,126.24,9.87,05:51: 02,0,73,0
4,126.99,0.75,05:52: 11,0,78,0
6,127.37,0.38,05:52: 11,5,94,0
8,173.36,45.99,05:52: 11,0,100,0
15,210.98,37.62,05:52: 21,0,7,0
5,246.11,35.13,05:52: 21,0,99,0
7,247.24,1.13,05:52: 22,0,93,0
5,247.36,0.12,05:52: 22,5,93,0
7,247.86,0.5,05:52: 22,10,27,0
16,248.24,0.38,05:52: 22,15,27,1
0,249.99,1.75,05:53: 08,20,20,1
6,263.87,13.88,05:53: 08,10,5,1
4,264.61,0.74,05:53: 46,10,8,0
