ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,41.84,0,05:03: 00,20,24,0
5,103.47,61.63,05:03: 00,0,68,0
7,104.48,1.01,05:04: 02,0,28,0
16,105.6,1.12,05:04: 02,5,50,0
0,107.35,1.75,05:04: 03,10,20,0
14,107.97,0.62,05:04: 03,10,20,0
5,108.01,0.04,05:04: 04,15,20,0
7,108.1,0.09,05:04: 04,20,20,0
6,108.22,0.12,05:04: 06,25,20,0
0,118.47,10.25,05:04: 06,25,12,0
14,167.1,48.63,05:04: 06,0,15,0
8,167.22,0.12,05:04: 06,0,15,0
6,167.59,0.37,05:04: 06,5,54,0
8,167.71,0.12,05:04: 06,10,54,0
0,234.22,66.51,05:04: 06,0,86,0
5,234.34,0.12,05:04: 06,0,86,0
7,234.72,0.38,05:04: 06,5,26,0
