ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,41.92,0,05:29: 01,20,67,0
5,103.05,61.13,05:29: 01,0,40,0
7,105.32,2.27,05:30: 02,0,87,0
4,114.55,9.23,05:30: 02,0,20,0
6,114.68,0.13,05:30: 04,0,20,0
0,243.68,129.0,05:30: 04,0,8,0
5,243.73,0.05,05:30: 13,0,8,0
7,243.93,0.2,05:30: 13,5,8,0
4,253.05,9.12,05:30: 13,5,89,0
8,314.55,61.5,05:30: 13,0,48,0
0,377.18,62.63,05:32: 22,0,20,0
6,387.31,10.13,05:32: 22,0,50,0
4,387.43,0.12,05:32: 22,0,50,0
6,387.55,0.12,05:32: 23,5,50,0
15,433.67,46.12,05:32: 23,0,94,0
8,434.05,0.38,05:32: 32,0,55,0
5,497.3,63.25,05:32: 32,0,27,0
7,499.55,2.25,05:33: 33,0,71,0
5,499.93,0.38,05:33: 33,0,71,1
7,500.05,0.12,05:34: 36,5,42,0
3,501.67,1.62,05:34: 46,10,0,0
0,503.05,1.38,05:34: 46,15,32,0
4,513.43,10.38,05:34: 46,10,75,0
6,513.68,0.25,05:34: 46,5,75,0
4,513.8,0.12,05:34: 46,10,75,0
6,513.93,0.13,05:34: 46,15,75,0
0,514.05,0.12,05:35: 32,20,13,0
5,520.43,6.38,05:35: 32,15,31,0
7,520.68,0.25,05:35: 33,15,31,0
8,573.92,53.24,05:35: 33,0,29,1
6,574.92,1.0,05:36: 36,0,98,0
8,575.05,0.13,05:36: 36,5,98,0
0,665.8,90.75,05:36: 38,0,94,0
7,666.18,0.38,05:36: 38,0,94,0
5,666.43,0.25,05:36: 39,5,3,0
