ID,Time,Timesince,Min Velocity,Max Velocity
5,25.83,0,0,0
9,60.59,34.76,0,0
8,76.46,15.87,0,0
0,87.08,10.62,0,0
13,92.33,5.25,0,0
173,95.46,3.13,0,0
14,113.21,17.75,0,0
216,113.96,0.75,0,0
12,125.21,11.25,0,0
153,148.7,23.49,0,0
240,149.07,0.37,0,0
102,149.32,0.25,0,0
16,154.46,5.14,0,0
10,170.83,16.37,0,0
1,182.21,11.38,0,0
4,183.82,1.61,0,0
6,183.95,0.13,0,0
80,188.83,4.88,0,0
2,202.2,13.37,0,0
208,214.33,12.13,0,0
148,270.58,56.25,0,0
205,333.96,63.38,0,0
215,350.96,17.0,0,0
149,352.7,1.74,0,0
15,377.08,24.38,0,0
96,483.7,106.62,0,0
3,503.95,20.25,0,0
202,635.58,131.63,0,0
38,707.08,71.5,0,0
246,721.21,14.13,0,0
32,785.46,64.25,0,0
144,813.08,27.62,0,0
28,815.21,2.13,0,0
40,985.08,169.87,0,0
191,990.21,5.13,0,0
204,1028.97,38.76,0,0
