ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,41.47,0,00:24: 26,30,27,1
7,100.68,59.21,00:24: 26,10,49,0
5,102.05,1.37,00:25: 25,5,38,0
11,159.42,57.37,00:25: 25,0,91,0
4,220.43,61.01,00:25: 27,0,57,0
0,221.06,0.63,00:25: 27,0,52,0
7,221.43,0.37,00:26: 24,0,52,0
5,221.8,0.37,00:26: 24,5,47,0
4,222.05,0.25,00:27: 25,10,47,1
0,223.3,1.25,00:27: 25,15,43,0
6,240.43,17.13,00:27: 26,10,9,0
8,290.67,50.24,00:27: 26,0,56,0
7,350.43,59.76,00:27: 26,0,72,0
4,350.68,0.25,00:27: 26,0,72,0
5,351.18,0.5,00:27: 26,5,6,1
9,353.8,2.62,00:27: 27,10,88,0
6,362.55,8.75,00:27: 27,15,14,0
8,405.92,43.37,00:27: 28,0,83,0
