ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
2,19.11,0,03:24: 12,45,3,1
6,19.73,0.62,03:24: 12,50,16,1
8,502.47,482.74,03:24: 13,0,16,0
7,594.11,91.64,03:24: 13,0,46,0
0,594.23,0.12,03:32: 15,0,46,0
5,594.73,0.5,03:32: 15,0,46,0
7,594.85,0.12,03:33: 47,5,46,0
5,594.98,0.13,03:33: 47,10,46,0
4,595.73,0.75,03:33: 47,15,54,0
3,596.1,0.37,03:33: 48,20,98,0
0,596.73,0.63,03:33: 48,25,98,0
2,687.1,90.37,03:33: 48,0,76,0
0,691.6,4.5,03:33: 48,0,29,0
2,699.73,8.13,03:33: 48,0,81,0
1,718.73,19.0,03:33: 48,0,50,0
4,746.73,28.0,03:33: 49,0,78,0
5,747.73,1.0,03:33: 49,0,41,0
15,750.6,2.87,03:33: 49,5,41,1
0,790.23,39.63,03:33: 49,0,93,0
6,942.22,151.99,03:33: 50,0,42,0
14,943.6,1.38,03:35: 20,0,21,0
8,943.97,0.37,03:35: 20,5,2,0
7,1022.6,78.63,03:35: 24,0,23,0
5,1023.73,1.13,03:35: 33,0,5,0
