ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
5,10.72,0,19:01: 12,45,44,1
4,33.72,23.0,19:01: 12,35,3,1
0,35.1,1.38,19:01: 35,30,29,0
6,84.98,49.88,19:01: 35,0,73,0
8,85.23,0.25,19:01: 36,0,73,1
9,89.97,4.74,19:02: 26,5,0,0
8,98.23,8.26,19:02: 26,0,44,0
6,100.6,2.37,19:02: 26,0,73,0
7,110.23,9.63,19:02: 26,0,52,0
12,110.6,0.37,19:02: 31,0,80,0
0,110.73,0.13,19:02: 31,5,80,0
15,139.72,28.99,19:02: 39,0,94,0
17,160.6,20.88,19:02: 39,0,20,0
10,169.36,8.76,19:02: 42,0,39,0
4,169.73,0.37,19:02: 42,0,22,0
0,171.1,1.37,19:02: 51,5,10,0
1,184.1,13.0,19:02: 51,0,2,0
6,185.72,1.62,19:02: 52,0,58,0
1,186.1,0.38,19:02: 52,5,58,0
2,231.23,45.13,19:02: 52,0,63,0
4,255.98,24.75,19:03: 21,0,13,0
5,256.98,1.0,19:03: 21,0,35,0
16,269.48,12.5,19:03: 42,0,76,0
6,304.23,34.75,19:03: 42,0,95,0
4,304.48,0.25,19:03: 50,0,95,0
6,304.73,0.25,19:03: 50,5,46,1
8,305.23,0.5,19:03: 51,10,46,0
0,321.1,15.87,19:03: 51,5,99,0
7,321.15,0.05,19:03: 52,5,99,0
12,322.22,1.07,19:04: 05,10,2,0
7,342.73,20.51,19:04: 05,0,42,0
17,342.85,0.12,19:04: 07,0,42,0
12,342.98,0.13,19:04: 07,5,42,0
16,343.85,0.87,19:04: 07,10,78,0
15,358.23,14.38,19:04: 07,5,70,0
