ROS Time,Behaviour
01:37: 57,Spinning
01:38: 02,Spinning
01:38: 06,Pausing
01:38: 11,Pausing
01:39: 15,Spinning
01:39: 20,Spinning
01:39: 31,Pausing
01:39: 36,Pausing
01:39: 43,Pausing
01:39: 48,Pausing
01:41: 23,Spinning
01:41: 28,Spinning
01:41: 42,Spinning
01:41: 47,Spinning
01:41: 59,Spinning
01:42: 04,Spinning
01:42: 08,Spinning
01:42: 13,Spinning
01:43: 21,Pausing
01:43: 26,Pausing
01:46: 16,Spinning
01:46: 21,Spinning
01:46: 33,Spinning
01:46: 38,Spinning
01:46: 48,Pausing
01:46: 53,Pausing
01:47: 38,Pausing
01:47: 43,Pausing
