ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
15,11.63,0,22:57: 27,45,24,1
4,33.63,22.0,22:57: 27,40,94,0
5,35.0,1.37,22:57: 49,40,61,0
16,56.38,21.38,22:57: 49,35,68,0
0,95.88,39.5,22:57: 51,15,0,1
6,95.93,0.05,22:57: 51,15,0,0
9,110.38,14.45,22:58: 12,15,55,0
6,112.13,1.75,22:58: 12,15,76,0
8,112.25,0.12,22:58: 52,20,76,0
7,132.51,20.26,22:58: 52,15,73,0
4,132.76,0.25,22:58: 52,15,73,0
12,133.01,0.25,22:59: 06,20,73,0
7,133.05,0.04,22:59: 06,25,73,0
12,133.13,0.08,22:59: 08,30,73,0
15,135.63,2.5,22:59: 08,35,49,0
6,142.13,6.5,22:59: 08,40,97,1
3,148.63,6.5,22:59: 08,35,21,1
0,150.51,1.88,22:59: 28,35,22,0
3,150.76,0.25,22:59: 28,35,22,0
12,174.76,24.0,22:59: 29,30,77,0
17,174.8,0.04,22:59: 29,30,77,0
7,174.84,0.04,22:59: 29,35,77,0
15,191.0,16.16,22:59: 29,35,63,0
10,230.01,39.01,22:59: 29,15,37,0
15,236.12,6.11,22:59: 29,10,23,0
7,236.25,0.13,22:59: 29,10,23,0
12,236.38,0.13,22:59: 29,15,23,1
17,238.63,2.25,22:59: 31,20,93,0
10,245.13,6.5,22:59: 31,25,17,0
16,287.75,42.62,22:59: 38,5,79,0
17,288.13,0.38,22:59: 38,5,79,0
10,313.13,25.0,22:59: 44,0,61,0
1,331.5,18.37,22:59: 44,0,69,0
16,332.75,1.25,22:59: 46,0,37,0
6,335.13,2.38,22:59: 47,5,47,0
9,336.75,1.62,22:59: 47,10,67,0
1,336.88,0.13,23:00: 11,15,67,0
2,347.25,10.37,23:00: 11,15,22,0
4,410.0,62.75,23:00: 11,0,6,0
5,410.88,0.88,23:00: 11,0,21,0
16,423.63,12.75,23:00: 11,0,59,0
8,449.76,26.13,23:00: 11,0,8,0
0,457.76,8.0,23:00: 27,0,43,0
6,475.51,17.75,23:00: 27,0,68,0
8,475.89,0.38,23:01: 06,0,68,0
9,480.63,4.74,23:01: 06,5,10,0
3,512.38,31.75,23:01: 12,0,6,1
7,521.51,9.13,23:01: 12,0,44,0
0,521.75,0.24,23:01: 12,0,44,0
7,521.79,0.04,23:01: 12,0,44,0
12,522.13,0.34,23:01: 12,5,4,0
17,532.76,10.63,23:01: 12,5,93,0
