ID,Time,Timesince,Min Velocity,Max Velocity
9,1.08,0,0,0
255,3.2,2.12,0,0
8,14.07,10.87,0,0
0,31.95,17.88,0,0
13,32.57,0.62,0,0
221,33.32,0.75,0,0
205,33.57,0.25,0,0
6,34.7,1.13,0,0
12,64.44,29.74,0,0
4,65.82,1.38,0,0
153,87.07,21.25,0,0
15,87.94,0.87,0,0
102,98.43,10.49,0,0
240,99.19,0.76,0,0
16,104.06,4.87,0,0
10,121.19,17.13,0,0
1,133.32,12.13,0,0
80,138.44,5.12,0,0
2,166.44,28.0,0,0
3,182.69,16.25,0,0
5,187.69,5.0,0,0
148,279.82,92.13,0,0
14,280.44,0.62,0,0
7,291.32,10.88,0,0
38,350.44,59.12,0,0
