ID,Time,Timesince,Min Velocity,Max Velocity,State
253,78.54,0,0,0,0
0,97.79,19.25,0,0,0
2,241.41,143.62,0,0,0
5,265.91,24.5,0,0,0
6,268.04,2.13,0,0,0
148,281.29,13.25,0,0,0
3,286.54,5.25,0,0,0
8,305.17,18.63,0,0,0
9,305.91,0.74,0,0,0
13,337.67,31.76,0,0,0
22,340.04,2.37,0,0,0
4,358.54,18.5,0,0,0
12,367.17,8.63,0,0,0
28,368.79,1.62,0,0,0
144,369.67,0.88,0,0,0
7,371.04,1.37,0,0,0
15,391.79,20.75,0,0,0
240,406.41,14.62,0,0,0
99,407.04,0.63,0,0,0
10,423.04,16.0,0,0,0
1,432.29,9.25,0,0,0
80,439.79,7.5,0,0,0
255,716.04,276.25,0,0,0
