ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
4,35.41,0,21:23: 48,25,8,1
5,36.41,1.0,21:23: 48,30,8,1
0,36.91,0.5,21:23: 49,35,8,0
6,84.78,47.87,21:23: 49,0,75,0
7,87.04,2.26,21:23: 50,0,91,0
2,101.66,14.62,21:24: 37,0,15,0
0,101.79,0.13,21:24: 37,0,15,0
2,101.83,0.04,21:24: 40,0,15,0
3,102.53,0.7,21:24: 40,5,47,1
8,103.04,0.51,21:24: 54,10,47,1
1,103.66,0.62,21:24: 54,15,1,0
13,104.28,0.62,21:24: 54,20,1,0
0,104.41,0.13,21:24: 55,25,60,0
1,104.45,0.04,21:24: 55,25,60,0
2,104.48,0.03,21:24: 55,30,60,0
3,104.52,0.04,21:24: 55,35,60,0
4,223.29,118.77,21:24: 56,0,71,0
5,224.41,1.12,21:24: 56,0,7,0
4,224.53,0.12,21:24: 56,5,51,0
5,224.66,0.13,21:24: 56,10,51,0
6,279.79,55.13,21:24: 57,0,75,0
0,280.66,0.87,21:24: 57,0,48,0
7,281.18,0.52,21:24: 57,0,48,0
