Time,Activity Mode,Probability Value,Activity Level
0.2,0,88,50
1.21,1,21,50
2.21,0,77,50
3.21,1,36,50
4.22,0,68,50
5.22,1,4,50
6.22,1,42,45
7.22,0,70,45
8.22,1,8,45
9.22,0,50,45
10.25,0,76,50
11.25,0,88,50
12.25,0,69,50
13.25,1,4,50
14.25,1,29,50
15.26,1,12,45
16.26,0,54,45
17.26,1,36,45
18.26,1,33,45
19.26,0,65,45
20.26,1,22,45
21.26,1,24,40
22.27,0,65,40
23.27,1,21,40
24.27,0,89,40
25.27,0,54,40
26.27,1,2,40
27.27,0,100,35
28.27,1,21,35
29.28,0,73,35
30.28,0,68,35
31.28,0,48,35
32.28,0,57,35
33.28,0,73,30
34.28,1,27,30
35.28,0,57,30
36.28,0,83,35
37.29,1,23,35
38.29,0,99,35
39.29,0,75,35
40.29,0,47,35
41.29,0,35,30
42.29,1,30,30
43.29,1,21,30
44.3,1,8,30
45.3,0,99,30
46.3,0,84,30
47.3,0,84,25
48.3,0,45,25
49.3,0,46,25
50.3,0,68,25
51.31,0,83,25
52.31,0,82,25
53.31,0,81,20
54.31,0,64,20
55.31,0,27,20
56.31,0,41,20
57.32,1,9,20
58.32,0,21,20
59.32,0,43,15
60.32,0,90,15
61.32,1,10,15
62.32,0,59,15
63.32,0,75,15
64.32,0,44,15
65.33,1,6,10
66.33,0,41,10
67.33,0,74,10
68.33,0,44,10
69.33,0,77,10
70.33,0,94,10
71.33,0,32,5
72.34,0,45,5
73.34,0,48,5
74.34,0,70,5
75.34,0,29,5
76.34,0,23,5
77.34,0,46,0
78.34,0,35,0
79.34,0,22,0
80.35,0,15,0
81.35,0,39,0
82.35,0,80,0
83.35,0,73,0
84.35,0,6,0
85.35,0,85,0
86.35,0,32,0
87.36,0,100,0
88.36,0,39,0
89.36,0,53,0
90.36,0,7,0
91.36,0,13,0
92.36,0,50,0
93.37,0,97,0
94.37,0,81,0
95.37,0,67,0
96.37,0,82,0
97.37,0,8,0
98.37,0,73,15
99.37,0,43,15
100.38,0,99,15
101.38,0,39,15
102.38,0,85,15
103.38,0,55,10
104.38,0,41,10
105.38,0,38,10
106.38,0,17,10
107.39,0,86,10
108.39,0,58,10
109.39,0,18,5
110.39,0,94,5
111.39,0,100,5
112.39,0,78,5
113.39,0,90,5
114.4,0,14,5
115.4,0,35,10
116.4,0,69,20
117.4,0,31,25
118.4,0,88,25
119.4,0,54,25
120.4,0,85,25
121.4,1,1,25
122.41,0,80,20
123.41,0,70,20
124.41,0,46,20
125.41,0,66,20
126.41,0,44,20
127.41,0,45,20
128.41,0,74,15
129.42,0,37,15
130.42,0,45,15
131.42,1,10,15
132.42,0,52,15
133.42,0,53,15
134.42,0,34,10
135.42,0,54,10
136.43,0,55,10
137.43,0,35,10
138.43,0,51,10
139.43,0,49,10
140.43,0,93,5
141.43,0,39,5
142.43,0,33,5
143.43,0,20,5
144.44,0,55,5
145.44,0,13,5
146.44,0,32,0
147.44,0,41,0
148.44,0,82,0
149.44,0,83,0
150.45,0,35,0
151.45,0,57,0
152.45,0,30,0
153.45,0,40,0
154.45,0,14,0
155.45,0,13,0
156.46,0,88,0
157.46,0,38,0
158.46,0,56,0
159.46,0,77,0
160.46,0,89,0
161.46,0,81,0
162.46,0,83,0
163.47,0,84,0
164.47,0,21,0
165.47,0,4,0
166.47,0,83,0
167.47,0,92,0
168.47,0,1,0
169.48,0,70,0
170.48,0,83,0
171.48,0,65,0
172.48,0,100,0
173.48,0,84,0
174.48,0,47,0
175.49,0,30,0
176.49,0,11,0
177.49,0,92,0
178.49,0,48,0
179.49,0,98,0
180.49,0,28,0
181.49,0,98,0
182.5,0,32,0
183.5,0,27,0
184.5,0,91,5
185.5,0,51,10
186.5,0,56,10
187.5,1,4,10
188.5,0,76,10
189.51,0,63,10
190.51,0,49,5
191.51,0,7,5
192.51,0,61,5
193.51,0,41,5
194.51,0,64,5
195.51,0,66,5
196.52,0,12,0
197.52,0,26,0
198.52,0,32,0
199.52,0,39,0
200.52,0,93,0
201.52,0,67,0
202.53,0,65,0
203.53,0,11,0
204.53,0,74,0
205.53,0,67,0
206.53,0,42,0
207.53,0,74,5
208.53,0,86,10
209.54,0,73,10
210.54,0,46,10
211.54,1,5,10
212.54,0,85,10
213.54,0,55,5
214.54,0,82,5
215.54,0,8,5
216.55,0,74,5
217.55,0,78,5
218.55,1,2,5
219.55,0,61,0
220.55,0,45,0
221.55,0,29,0
222.55,0,61,0
223.56,0,66,0
224.56,0,71,0
225.56,0,18,0
226.56,0,50,0
227.56,0,82,0
228.56,0,81,0
229.57,0,84,0
230.57,0,43,0
231.57,0,89,0
232.57,0,81,0
233.57,0,22,0
234.57,0,8,0
235.57,0,38,0
236.58,0,62,0
237.58,0,19,0
238.58,0,14,0
239.58,0,89,0
240.58,0,86,0
241.58,0,88,0
242.59,0,44,0
243.59,0,90,0
244.59,0,78,0
245.59,0,55,0
246.59,0,5,0
247.59,0,3,0
248.6,0,95,0
249.6,0,27,0
250.6,0,95,0
251.6,0,75,0
252.6,0,78,0
253.6,0,89,0
254.6,0,15,0
255.61,0,57,0
256.61,0,45,0
257.61,0,63,0
258.61,0,50,0
259.61,0,22,0
260.61,0,25,0
261.62,0,45,0
262.62,0,49,0
263.62,0,18,0
264.62,0,83,0
265.62,0,99,0
266.62,0,31,0
267.63,0,72,0
268.63,0,12,0
269.63,0,76,0
270.63,0,35,0
271.63,0,13,0
272.63,0,68,0
273.64,0,8,0
274.64,0,73,0
275.64,0,6,0
276.64,0,17,0
277.64,0,15,5
278.64,0,64,5
279.64,0,42,5
280.64,0,18,5
281.65,0,77,5
282.65,0,36,0
283.65,0,56,0
284.65,0,57,0
285.65,0,10,0
286.65,0,14,0
287.66,0,39,0
288.66,0,57,0
289.66,0,45,0
290.66,0,17,0
291.66,0,29,0
292.66,0,99,0
293.66,0,63,0
294.67,0,6,0
295.67,0,43,0
296.67,0,27,0
297.67,0,6,0
298.67,0,25,0
299.68,0,95,0
300.68,0,77,0
301.68,0,45,0
302.68,0,69,0
303.68,0,35,0
304.68,0,73,0
305.68,0,23,0
306.69,0,10,0
307.69,0,87,0
308.69,0,81,0
309.69,0,72,0
310.69,0,21,0
311.69,0,87,0
312.7,0,75,0
313.7,0,89,0
314.7,0,20,0
315.7,0,97,0
316.7,0,69,0
317.7,0,86,0
318.7,0,19,0
319.71,0,59,0
320.71,0,49,0
321.71,0,58,0
322.71,0,80,0
323.71,0,15,0
324.71,0,89,0
325.72,0,100,0
326.72,0,32,0
327.72,0,22,0
328.72,0,93,0
329.72,0,36,0
330.72,0,64,0
331.73,0,84,0
332.73,0,91,0
333.73,0,6,0
334.73,0,71,0
335.73,0,84,0
336.74,0,81,0
337.74,0,54,0
338.74,0,47,0
339.74,0,66,0
340.74,0,69,0
341.74,0,65,0
342.75,0,22,0
343.75,0,89,0
344.75,0,70,0
345.75,0,56,5
346.75,1,5,5
347.75,0,20,5
348.75,0,82,5
349.76,0,20,5
350.76,0,29,0
351.76,0,98,0
352.76,0,79,0
353.76,0,34,0
354.76,0,63,0
355.76,0,95,0
356.76,0,81,0
357.77,0,50,0
358.77,0,25,0
359.77,0,16,0
360.77,0,15,0
361.77,0,72,0
362.77,0,76,0
363.77,0,18,0
364.78,0,67,0
365.78,0,81,0
366.78,0,54,0
367.78,0,99,0
368.78,0,99,0
369.78,0,30,0
370.79,0,31,0
371.79,0,51,0
372.79,0,34,0
373.79,0,73,0
374.79,0,43,0
375.79,0,20,0
376.8,0,80,0
377.8,0,89,0
378.8,1,0,0
379.8,0,66,0
380.8,0,14,0
381.8,0,17,0
382.8,0,4,0
383.81,0,20,0
384.81,0,47,0
385.81,0,99,0
386.81,0,51,0
387.81,0,17,0
388.81,0,97,0
389.81,0,26,0
390.82,0,49,0
391.82,0,28,0
392.82,0,99,0
393.82,0,67,0
394.82,0,69,0
395.82,0,33,0
396.82,0,44,0
397.83,0,82,0
