ID,Time,Timesince,Min Velocity,Max Velocity
0,80.51,0,0.05000000074505806,0.20000000298023224
6,116.52,36.01,0.05000000074505806,0.20000000298023224
4,144.14,27.62,977.25,977.4000244140625
5,148.88,4.74,1178.050048828125,1178.199951171875
255,170.27,21.39,458.6499938964844,459.0
11,189.39,19.12,1130.050048828125,1130.199951171875
12,209.64,20.25,1848.449951171875,1848.5999755859375
14,221.27,11.63,2259.85009765625,2260.0
8,265.64,44.37,3804.25,3804.39990234375
13,266.13,0.49,3821.449951171875,3821.60009765625
15,275.26,9.13,3500.64990234375,3500.60009765625
10,284.38,9.12,3824.050048828125,3824.199951171875
