ID,Time,Timesince,ROS Time,Max Velocity,State
3,10.72,0,14:59: 00,0,1
5,17.09,6.37,14:59: 00,0,2
4,27.96,10.87,14:59: 06,0,2
16,33.09,5.13,14:59: 06,0,1
9,47.59,14.5,14:59: 17,0,2
13,67.84,20.25,14:59: 17,0,2
12,83.59,15.75,14:59: 22,0,2
15,110.09,26.5,14:59: 22,0,2
10,137.09,27.0,14:59: 37,0,2
0,138.59,1.5,14:59: 37,0,2
1,150.34,11.75,14:59: 57,0,1
