Time,Activity Mode,Probability Value,Activity Level
0.19,1,34,50
1.2,0,61,50
2.2,1,50,50
3.2,0,82,50
4.2,0,69,50
5.2,0,77,50
6.2,0,96,45
7.2,1,2,45
8.2,0,55,45
9.2,0,50,45
10.21,1,37,45
11.21,0,69,45
12.21,0,80,40
13.21,0,91,40
14.21,1,17,40
15.21,0,72,40
16.22,0,79,40
17.22,1,21,40
18.22,1,34,35
19.22,1,7,35
20.22,1,18,35
21.22,0,100,35
22.22,1,24,35
23.23,1,7,35
24.23,1,25,30
25.23,0,52,30
26.23,0,80,30
27.23,0,99,30
28.23,0,90,30
29.23,0,34,30
30.24,0,82,25
31.24,0,64,25
32.24,1,14,25
33.24,1,15,25
34.24,0,70,25
35.24,1,10,25
36.24,0,22,20
37.25,1,10,20
38.25,0,91,20
39.25,0,45,20
40.25,0,84,20
41.25,0,93,20
42.25,1,12,15
43.26,0,83,15
