ROS Time,Behaviour
14:41: 46,Spinning
14:41: 51,Spinning
14:42: 01,Pausing
14:42: 06,Pausing
14:42: 22,Pausing
14:42: 27,Pausing
14:42: 52,Spinning
14:42: 57,Spinning
14:42: 58,Spinning
14:43: 03,Spinning
14:43: 17,Spinning
14:43: 22,Spinning
14:44: 00,Spinning
14:44: 05,Spinning
14:44: 19,Spinning
14:44: 24,Spinning
14:45: 49,Spinning
14:45: 54,Spinning
14:46: 14,Spinning
14:46: 19,Spinning
14:46: 46,Spinning
14:46: 51,Spinning
14:47: 04,Pausing
14:47: 09,Pausing
14:47: 22,Spinning
14:47: 27,Spinning
14:48: 06,Spinning
14:48: 11,Spinning
