Time,Behaviour
16:38: 58,Pausing
16:39: 08,Spinning
16:39: 16,Spinning
16:39: 50,Pausing
16:40: 18,Spinning
16:40: 49,Spinning
16:41: 39,Spinning
16:42: 02,Spinning
16:42: 43,Spinning
16:43: 34,Spinning
