ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
4,34.24,0,19:20: 59,25,51,0
0,35.11,0.87,19:20: 59,30,12,1
5,35.59,0.48,19:21: 00,30,12,0
16,56.87,21.28,19:21: 00,20,75,0
6,98.49,41.62,19:21: 00,0,19,0
8,98.62,0.13,19:21: 21,0,19,0
6,98.66,0.04,19:21: 21,5,19,0
8,98.87,0.21,19:22: 03,10,19,0
0,122.11,23.24,19:22: 03,0,9,0
7,123.49,1.38,19:22: 03,0,25,0
12,123.99,0.5,19:22: 03,5,25,0
5,128.61,4.62,19:22: 03,10,91,0
15,129.23,0.62,19:22: 03,10,91,0
7,129.36,0.13,19:22: 03,15,91,0
17,142.49,13.13,19:22: 03,10,84,0
10,193.49,51.0,19:22: 27,0,59,0
1,212.99,19.5,19:22: 28,0,4,0
6,213.49,0.5,19:22: 28,0,95,0
1,213.61,0.12,19:22: 29,5,95,0
2,255.11,41.5,19:22: 29,0,50,0
16,266.99,11.88,19:22: 33,0,61,0
4,279.49,12.5,19:22: 33,0,76,0
5,280.11,0.62,19:22: 34,0,31,0
0,280.36,0.25,19:22: 34,5,31,0
4,280.49,0.13,19:22: 34,5,31,0
5,280.62,0.13,19:22: 34,10,74,0
0,283.62,3.0,19:22: 47,15,28,0
16,297.24,13.62,19:22: 47,5,31,0
6,331.24,34.0,19:23: 38,0,40,0
8,332.87,1.63,19:23: 38,0,18,0
6,332.92,0.05,19:23: 58,5,18,0
8,333.24,0.32,19:23: 58,10,18,0
0,333.99,0.75,19:23: 58,15,51,0
7,352.74,18.75,19:23: 58,0,70,1
5,352.87,0.13,19:23: 58,0,70,0
12,353.49,0.62,19:23: 58,5,70,0
7,353.61,0.12,19:24: 40,10,70,0
12,353.86,0.25,19:24: 40,15,27,0
17,371.86,18.0,19:24: 52,5,4,0
15,390.48,18.62,19:24: 52,0,27,0
10,432.61,42.13,19:25: 04,0,100,0
4,433.62,1.01,19:25: 04,0,52,0
10,433.86,0.24,19:25: 05,5,68,0
8,437.24,3.38,19:25: 05,10,97,0
4,443.24,6.0,19:25: 05,5,73,0
1,444.49,1.25,19:25: 05,5,35,0
2,486.86,42.37,19:25: 05,0,54,0
5,514.61,27.75,19:25: 05,0,26,0
4,514.74,0.13,19:25: 05,0,26,0
5,514.78,0.04,19:25: 08,5,26,0
0,515.11,0.33,19:25: 22,10,73,0
6,571.99,56.88,19:25: 22,0,42,0
8,572.37,0.38,19:25: 56,0,42,0
12,588.62,16.25,19:25: 56,0,10,0
7,589.11,0.49,19:25: 57,0,47,0
0,589.24,0.13,19:25: 57,5,47,0
12,589.37,0.13,19:25: 57,5,47,0
14,598.24,8.87,19:25: 58,5,52,0
15,613.86,15.62,19:25: 58,0,88,0
17,637.36,23.5,19:25: 58,0,40,0
10,645.24,7.88,19:25: 59,0,74,0
1,661.99,16.75,19:26: 17,0,23,0
6,663.11,1.12,19:26: 17,0,22,0
16,663.36,0.25,19:26: 17,5,22,0
2,694.49,31.13,19:26: 17,0,83,0
4,717.36,22.87,19:26: 18,0,37,0
5,717.86,0.5,19:26: 18,0,37,0
4,717.99,0.13,19:26: 18,5,37,0
0,718.61,0.62,19:26: 18,10,91,0
16,740.11,21.5,19:26: 18,0,38,0
8,775.99,35.88,19:26: 18,0,36,0
6,776.03,0.04,19:26: 36,0,36,0
8,776.87,0.84,19:26: 36,5,35,0
6,776.91,0.04,19:26: 55,10,35,0
7,802.49,25.58,19:26: 55,0,35,0
0,802.74,0.25,19:27: 37,0,35,0
12,802.87,0.13,19:27: 37,0,35,0
17,823.99,21.12,19:27: 38,0,49,0
15,824.03,0.04,19:27: 38,0,49,0
