ID,Time,Timesince,ROS Time,Behave Val,Random NoState
0,5.39,0,16:25: 59,50,81,1
2,13.9,8.51,16:26: 07,50,14,2
16,35.27,21.37,16:26: 07,45,71,1
4,66.39,31.12,16:26: 29,40,5,2
3,71.9,5.51,16:26: 29,35,49,2
9,102.9,31.0,16:27: 00,40,65,2
8,109.52,6.62,16:27: 00,35,84,1
13,131.4,21.88,16:27: 05,30,7,2
12,151.27,19.87,16:27: 05,25,54,2
15,185.52,34.25,16:27: 36,20,99,2
17,205.65,20.13,16:27: 36,15,95,2
10,212.9,7.25,16:27: 43,10,46,2
