ID,Time,Timesince,Min Velocity,Max Velocity
0,1.02,0,0.05000000074505806,0.20000000298023224
128,87.62,86.6,0.05000000074505806,0.20000000298023224
6,93.87,6.25,219.4499969482422,219.60000610351562
4,120.24,26.37,1158.25,1158.4000244140625
11,179.75,59.51,3285.85009765625,3286.0
12,199.0,19.25,3970.050048828125,3970.199951171875
13,210.12,11.12,4363.0498046875,4363.2001953125
14,210.37,0.25,4370.64990234375,4370.7998046875
9,210.62,0.25,4364.64990234375,4364.7998046875
45,257.12,46.5,2725.25,2725.39990234375
8,269.26,12.14,3150.64990234375,3150.800048828125
2,300.5,31.24,4244.4501953125,4244.60009765625
