Time,Activity Mode,Probability Value,Activity Level
317.69,0,8,0
318.69,0,82,0
319.7,0,52,0
320.7,0,11,0
321.7,0,34,0
322.7,0,65,0
323.7,0,95,0
324.7,0,86,0
325.71,0,62,0
326.71,0,61,0
327.71,0,26,0
328.71,0,50,0
329.71,0,2,0
330.71,0,33,0
331.72,0,62,0
332.72,0,93,0
333.72,0,33,0
334.72,0,52,0
335.72,0,77,0
336.72,0,84,0
337.72,0,34,0
338.73,0,34,0
339.73,0,45,0
340.73,0,90,0
341.73,0,59,0
342.73,0,28,0
343.73,0,41,0
344.73,0,77,10
345.74,0,65,10
346.74,0,86,10
347.74,0,90,10
348.74,0,29,10
349.74,0,60,5
350.74,0,37,5
351.74,0,15,5
352.75,0,24,5
353.75,0,65,5
354.75,0,17,5
355.75,0,65,0
356.75,0,46,0
357.75,0,66,0
358.76,0,78,0
359.76,0,21,0
360.76,0,50,5
361.76,0,83,10
362.76,0,80,15
363.76,0,50,20
364.77,0,34,20
365.77,0,57,20
366.77,1,15,20
367.77,0,47,20
368.77,0,41,15
369.77,0,61,15
370.78,0,44,15
371.78,0,96,15
372.78,0,72,15
373.78,0,85,15
374.78,0,21,10
375.78,0,28,10
376.79,0,82,10
377.79,0,84,10
378.79,0,17,10
379.79,0,19,10
380.8,0,84,5
381.8,0,68,5
382.8,0,82,5
383.8,0,49,5
384.8,0,37,5
385.8,0,63,5
386.8,0,53,0
387.81,0,4,0
388.81,0,99,0
389.81,1,0,0
390.81,0,59,0
391.81,0,60,0
392.82,0,1,0
393.82,0,50,0
394.82,0,69,0
395.82,0,68,0
396.83,0,14,0
397.83,0,42,0
398.83,0,18,0
399.83,0,70,0
400.83,0,49,0
401.83,0,49,0
402.84,0,73,0
403.84,0,13,0
404.84,0,20,0
405.84,0,40,0
406.84,0,25,0
407.84,0,77,0
408.84,0,5,0
409.85,0,71,0
410.85,0,42,0
411.85,0,29,0
412.85,0,54,0
413.85,0,59,0
414.85,0,10,0
415.85,0,62,0
416.86,1,0,0
417.86,0,61,0
418.86,0,28,0
419.86,0,5,0
420.86,0,26,0
421.86,0,59,0
422.86,0,82,0
423.87,0,95,0
424.87,0,81,0
425.87,0,44,0
426.87,0,50,0
427.87,0,76,0
428.87,0,29,0
429.87,0,82,0
430.88,0,45,0
431.88,0,95,0
432.88,0,88,0
433.88,0,48,0
434.88,0,23,0
