Time,Activity Mode,Probability Value,Activity Level
317.68,1,26,100
318.68,1,41,100
319.68,1,20,100
320.68,1,88,100
321.68,1,60,100
322.68,1,75,100
323.68,1,26,100
324.69,1,56,100
325.69,1,76,100
326.69,1,59,100
327.69,1,51,100
328.69,1,27,100
329.7,1,98,100
330.7,1,43,100
331.7,1,73,100
332.7,1,21,100
333.7,1,45,100
334.7,1,8,100
335.7,1,20,100
336.71,1,100,100
337.71,1,50,100
338.71,1,2,100
339.71,1,77,100
340.71,1,72,100
341.71,1,4,100
342.71,1,23,100
343.72,1,88,100
344.72,1,87,100
345.72,1,71,100
346.72,1,10,100
347.72,1,74,100
348.72,1,78,100
349.72,1,64,100
350.73,1,83,100
351.73,1,4,100
352.73,1,77,100
353.73,1,39,100
354.73,1,67,100
355.73,1,24,100
356.74,1,98,100
357.74,1,47,100
358.74,1,25,100
359.75,1,15,100
360.75,1,86,100
361.75,1,22,100
362.75,1,64,100
363.75,1,28,100
364.75,1,51,100
365.76,1,2,100
366.76,1,79,100
367.76,1,53,100
368.76,1,81,100
369.76,1,81,100
370.76,1,18,100
371.76,1,47,100
372.76,1,4,100
373.77,1,86,100
374.77,1,39,100
375.77,1,56,100
376.77,1,50,100
377.77,1,14,100
378.77,1,20,100
379.77,1,51,100
380.78,1,98,100
381.78,1,42,100
382.78,1,0,100
383.78,1,64,100
384.78,1,38,100
385.78,1,85,100
386.79,1,48,100
387.79,1,41,100
388.79,1,8,100
389.79,1,67,100
390.79,1,11,100
391.79,1,57,100
392.79,1,95,100
393.8,1,6,100
394.8,1,17,100
395.8,1,3,100
396.8,1,78,100
397.8,1,43,100
398.8,1,8,100
399.8,1,50,100
400.81,1,37,100
401.81,1,83,100
402.81,1,46,100
403.81,1,25,100
404.81,1,71,100
405.81,1,58,100
406.82,1,14,100
407.82,1,31,100
408.82,1,5,100
409.82,1,11,100
410.82,1,97,100
411.82,1,25,100
412.82,1,45,100
413.83,1,85,100
414.83,1,30,100
415.83,1,58,100
416.83,1,72,100
417.83,1,16,100
418.83,1,50,100
419.83,1,17,100
420.84,1,100,100
421.84,1,42,100
422.84,1,49,100
423.84,1,56,100
424.84,1,45,100
425.85,1,88,100
426.85,1,31,100
427.85,1,95,100
428.85,1,97,100
429.85,1,72,100
430.85,1,74,100
431.85,1,75,100
432.86,1,94,100
433.86,1,78,100
434.86,1,65,100
435.86,1,97,100
436.86,1,3,100
437.86,1,15,100
438.86,1,33,100
439.86,1,26,100
440.87,1,8,100
441.87,1,11,100
442.87,1,8,100
443.87,1,10,100
444.87,1,80,100
445.87,1,44,100
446.88,1,85,100
447.88,1,100,100
448.88,1,79,100
449.88,1,39,100
450.88,1,80,100
451.88,1,12,100
452.88,1,71,100
453.89,1,46,100
454.89,1,9,100
455.89,1,89,100
456.89,1,3,100
457.9,1,14,100
458.9,1,41,100
459.9,1,82,100
460.9,1,66,100
461.9,1,22,100
462.9,1,67,100
463.9,1,86,100
464.91,1,9,100
465.91,1,0,100
466.91,1,13,100
467.91,1,33,100
468.91,1,20,100
469.91,1,34,100
470.92,1,76,100
471.92,1,50,100
472.92,1,12,100
473.92,1,93,100
474.92,1,78,100
475.92,1,75,100
476.93,1,73,100
477.93,1,27,100
478.93,1,30,100
479.93,1,27,100
480.93,1,5,100
481.93,1,100,100
482.93,1,40,100
483.94,1,64,100
484.94,1,85,100
485.94,1,14,100
486.94,1,48,100
487.94,1,26,100
488.95,1,36,100
489.95,1,52,100
490.95,1,9,100
491.95,1,57,100
492.95,1,83,100
493.95,1,57,100
494.95,1,92,100
495.96,1,12,100
496.96,1,25,100
497.96,1,50,100
498.96,1,55,100
499.96,1,12,100
500.96,1,96,100
501.96,1,52,100
502.97,1,16,100
503.97,1,49,100
504.97,1,68,100
505.97,1,0,100
506.97,1,63,100
507.97,1,47,100
508.97,1,26,100
509.98,1,16,100
510.98,1,9,100
511.98,1,8,100
512.98,1,33,100
513.98,1,67,100
514.98,1,31,100
515.98,1,29,100
516.99,1,71,100
517.99,1,98,100
518.99,1,40,100
519.99,1,54,100
520.99,1,64,100
521.99,1,26,100
523.0,1,12,100
524.0,1,71,100
525.0,1,20,100
526.0,1,77,100
527.0,1,78,100
528.0,1,72,100
529.0,1,4,100
530.01,1,16,100
531.01,1,35,100
532.01,1,100,100
533.01,1,54,100
534.01,1,9,100
535.01,1,20,100
536.01,1,55,100
537.02,1,26,100
538.02,1,80,100
539.02,1,89,100
540.02,1,59,100
541.02,1,70,100
542.02,1,80,100
543.03,1,45,100
544.03,1,71,100
545.03,1,47,100
546.03,1,2,100
547.03,1,38,100
548.03,1,83,100
549.03,1,70,100
550.04,1,92,100
551.04,1,86,100
552.04,1,73,100
553.04,1,47,100
554.05,1,52,100
555.05,1,78,100
556.05,1,79,100
557.05,1,68,100
558.05,1,61,100
559.05,1,34,100
560.06,1,41,100
561.06,1,12,100
562.06,1,41,100
563.06,1,42,100
564.06,1,87,100
565.06,1,74,100
566.06,1,19,100
567.07,1,42,100
568.07,1,68,100
569.07,1,43,100
570.07,1,16,100
571.07,1,53,100
572.07,1,47,100
573.07,1,33,100
574.07,1,2,100
575.08,1,30,100
576.08,1,43,100
577.08,1,57,100
578.08,1,42,100
579.08,1,72,100
580.08,1,39,100
581.08,1,91,100
582.09,1,25,100
583.09,1,7,100
584.09,1,83,100
585.09,1,63,100
586.09,1,58,100
587.09,1,38,100
588.09,1,67,100
589.1,1,44,100
590.1,1,76,100
591.1,1,49,100
