Time,Activity Mode,Probability Value,Activity Level
0.19,0,74,50
1.2,0,88,50
2.2,1,15,50
3.21,1,5,50
4.21,1,31,50
5.21,0,73,50
6.21,0,65,50
7.21,1,42,50
8.21,1,8,50
9.21,1,36,50
10.21,1,2,45
11.22,0,98,45
12.22,0,51,45
13.22,1,38,45
14.22,1,41,45
15.22,1,31,45
16.22,0,49,45
17.22,0,90,45
18.23,1,38,45
19.23,1,35,45
20.23,1,38,40
21.23,1,13,40
22.23,0,60,40
23.23,0,48,40
24.23,1,28,40
25.24,0,65,40
26.24,0,41,40
27.24,0,63,40
28.24,1,14,40
29.24,1,3,40
30.24,1,6,35
31.24,1,21,35
32.24,0,71,35
33.25,0,88,35
34.25,0,78,35
35.25,0,58,40
36.25,1,6,45
37.25,0,60,45
38.25,0,99,45
39.25,0,96,45
40.25,1,9,45
41.26,0,95,45
42.26,1,12,45
43.26,0,85,45
44.26,0,49,45
45.26,0,69,40
46.26,0,72,40
47.26,0,46,40
48.27,1,28,40
49.27,0,95,40
50.27,0,91,40
51.27,0,90,40
52.27,0,43,40
53.27,0,49,40
54.27,0,46,40
55.28,0,77,35
56.28,1,31,35
57.28,0,79,35
58.28,0,77,35
59.28,0,100,35
60.28,1,4,35
61.28,0,84,35
62.29,0,49,35
63.29,1,13,35
64.29,0,87,35
65.29,0,38,30
66.29,1,11,30
67.29,0,82,30
68.29,0,53,30
69.3,1,24,30
70.3,1,5,30
71.3,0,75,30
72.3,1,6,30
73.3,0,89,30
74.3,0,91,30
75.3,0,90,25
76.3,0,83,25
77.3,0,91,25
78.31,1,21,25
79.31,0,28,25
80.31,0,89,25
81.31,0,50,25
82.31,1,0,25
83.31,0,56,25
84.31,1,16,30
85.32,1,4,30
86.32,1,11,30
87.32,0,56,30
88.32,1,14,30
89.32,0,69,30
90.32,0,94,30
91.32,1,16,30
92.33,0,68,30
93.33,0,75,25
94.33,1,9,25
95.33,0,97,25
96.33,1,4,25
97.33,0,31,25
98.33,0,88,25
99.34,0,47,25
100.34,1,25,35
101.34,1,30,35
102.34,0,49,35
103.34,1,7,35
104.34,0,58,35
105.34,0,73,35
106.34,0,76,35
107.35,1,33,35
108.35,1,3,35
109.35,0,39,30
110.35,0,43,30
111.35,0,39,30
112.35,0,47,30
113.35,0,50,30
114.36,0,95,30
115.36,0,44,30
116.36,0,69,55
117.36,1,44,55
118.36,0,87,55
119.36,1,27,55
120.36,1,48,55
121.36,1,53,55
122.36,1,18,55
123.37,1,38,55
124.37,0,58,55
125.37,0,89,50
126.37,0,92,50
127.37,0,80,50
128.37,0,81,50
129.37,0,76,50
130.38,0,97,50
131.38,1,35,50
132.38,0,76,50
133.38,1,49,50
134.38,0,56,50
135.38,0,64,45
136.38,0,60,45
137.38,0,92,45
138.38,0,50,45
