ID,Time,Timesince,Min Velocity,Max Velocity
0,81.09,0,0,0
5,125.46,44.37,0,0
6,127.96,2.5,0,0
9,128.21,0.25,0,0
159,142.21,14.0,0,0
8,165.46,23.25,0,0
255,168.84,3.38,0,0
13,197.46,28.62,0,0
205,199.83,2.37,0,0
32,200.46,0.63,0,0
151,228.46,28.0,0,0
10,229.34,0.88,0,0
12,229.58,0.24,0,0
156,230.08,0.5,0,0
144,230.58,0.5,0,0
208,232.45,1.87,0,0
153,253.33,20.88,0,0
16,268.08,14.75,0,0
4,293.58,25.5,0,0
1,296.33,2.75,0,0
80,296.46,0.13,0,0
3,363.21,66.75,0,0
48,424.58,61.37,0,0
2,476.09,51.51,0,0
