ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
2,10.98,0,23:42: 58,45,5,1
16,37.6,26.62,23:42: 58,40,54,0
4,68.6,31.0,23:43: 24,25,21,1
5,80.97,12.37,23:43: 24,15,53,0
8,117.73,36.76,23:43: 55,0,42,0
6,135.35,17.62,23:43: 55,0,89,0
8,135.98,0.63,23:44: 08,0,3,0
4,136.35,0.37,23:44: 08,5,3,0
6,136.43,0.08,23:44: 44,10,56,0
9,144.48,8.05,23:44: 45,15,89,0
12,154.73,10.25,23:45: 02,10,94,0
0,154.85,0.12,23:45: 02,10,94,0
12,155.1,0.25,23:45: 03,10,94,0
0,155.35,0.25,23:45: 03,15,94,0
7,155.47,0.12,23:45: 03,15,58,0
15,185.97,30.5,23:45: 03,5,59,0
10,224.1,38.13,23:45: 03,0,43,0
1,245.22,21.12,23:45: 03,0,51,0
16,245.97,0.75,23:45: 11,0,67,0
1,246.35,0.38,23:45: 11,5,67,0
8,249.47,3.12,23:45: 21,10,53,0
4,315.85,66.38,23:45: 22,0,78,0
5,316.85,1.0,23:45: 22,0,15,0
6,368.35,51.5,23:45: 22,0,87,0
4,368.48,0.13,23:45: 22,0,87,0
6,368.85,0.37,23:45: 22,5,20,0
8,369.1,0.25,23:45: 22,10,20,0
9,372.73,3.63,23:45: 22,15,51,1
7,390.97,18.24,23:45: 53,15,24,1
12,391.85,0.88,23:45: 53,15,2,1
5,391.98,0.13,23:46: 31,20,2,1
7,392.1,0.12,23:46: 31,25,2,0
12,392.6,0.5,23:46: 52,30,2,0
14,403.48,10.88,23:46: 52,30,78,0
15,425.97,22.49,23:46: 53,20,50,0
10,461.6,35.63,23:46: 53,5,59,0
4,463.73,2.13,23:46: 53,0,21,0
10,463.85,0.12,23:46: 53,5,21,0
12,473.35,9.5,23:46: 56,10,30,0
7,474.1,0.75,23:46: 56,5,62,0
0,474.85,0.75,23:48: 03,10,62,0
