ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
16,3.57,0,21:12: 24,50,56,0
4,16.82,13.25,21:12: 24,45,22,1
5,17.69,0.87,21:12: 37,45,49,0
14,25.82,8.13,21:12: 37,45,24,1
8,70.94,45.12,21:12: 38,10,32,0
6,91.07,20.13,21:12: 38,0,17,0
8,92.05,0.98,21:12: 46,0,17,0
6,92.62,0.57,21:12: 46,5,85,0
12,112.07,19.45,21:13: 31,0,92,0
7,112.94,0.87,21:13: 31,0,23,0
0,114.18,1.24,21:13: 51,5,69,1
14,123.69,9.51,21:13: 52,0,0,0
15,145.19,21.5,21:13: 52,0,88,0
17,173.44,28.25,21:13: 52,0,21,0
10,185.07,11.63,21:13: 53,0,42,0
1,200.56,15.49,21:13: 53,0,49,0
2,234.57,34.01,21:14: 12,0,41,0
16,243.82,9.25,21:14: 12,0,45,0
4,256.69,12.87,21:14: 13,0,33,0
5,257.69,1.0,21:14: 14,0,1,0
6,304.82,47.13,21:14: 14,0,96,0
8,306.32,1.5,21:14: 24,0,82,0
7,323.94,17.62,21:14: 24,0,79,0
0,324.33,0.39,21:14: 46,0,79,0
7,325.13,0.8,21:14: 46,0,40,0
12,325.18,0.05,21:15: 14,5,40,0
0,333.57,8.39,21:15: 14,5,23,0
14,333.82,0.25,21:15: 25,5,8,0
17,344.19,10.37,21:15: 26,5,69,0
15,355.94,11.75,21:15: 41,0,34,0
17,379.07,23.13,21:15: 41,0,95,0
10,388.32,9.25,21:16: 15,0,38,0
4,389.07,0.75,21:16: 15,0,9,0
1,404.94,15.87,21:16: 24,0,33,0
6,405.44,0.5,21:16: 24,0,33,0
16,406.31,0.87,21:16: 37,5,70,0
