ROS Time,Behaviour
20:50: 14,Pausing
20:50: 19,Pausing
20:50: 37,Spinning
20:50: 42,Spinning
20:51: 41,Spinning
20:51: 46,Spinning
20:52: 47,Pausing
20:52: 52,Pausing
20:53: 11,Spinning
20:53: 16,Spinning
20:55: 27,Pausing
20:55: 32,Pausing
20:55: 59,Pausing
20:56: 04,Pausing
20:57: 01,Pausing
20:57: 06,Pausing
20:57: 57,Spinning
20:58: 02,Spinning
20:58: 46,Spinning
20:58: 51,Spinning
20:59: 33,Spinning
20:59: 38,Spinning
21:00: 10,Pausing
21:00: 15,Pausing
21:00: 51,Pausing
21:00: 56,Pausing
21:01: 21,Pausing
21:01: 26,Pausing
21:02: 53,Pausing
21:02: 58,Pausing
21:03: 27,Spinning
21:03: 32,Spinning
21:03: 40,Spinning
21:03: 45,Spinning
21:04: 07,Spinning
21:04: 12,Spinning
