ROS Time,Behaviour
16:03: 00,Pausing
16:03: 05,Pausing
16:03: 15,Spinning
16:03: 20,Spinning
16:04: 13,Pausing
16:04: 18,Pausing
16:04: 22,Spinning
16:04: 27,Spinning
16:04: 33,Spinning
16:04: 38,Spinning
16:05: 04,Pausing
16:05: 09,Pausing
16:11: 38,Pausing
16:11: 43,Pausing
16:11: 56,Pausing
16:12: 01,Pausing
16:12: 11,Spinning
16:12: 16,Spinning
16:12: 54,Spinning
16:12: 59,Spinning
16:13: 13,Spinning
16:13: 18,Spinning
16:13: 39,Pausing
16:13: 44,Pausing
16:14: 32,Spinning
16:14: 37,Spinning
16:14: 41,Pausing
16:14: 46,Pausing
16:14: 48,Pausing
16:14: 53,Pausing
16:15: 07,Pausing
16:15: 12,Pausing
16:15: 32,Pausing
16:15: 37,Pausing
16:15: 58,Pausing
16:16: 03,Pausing
16:16: 08,Spinning
16:16: 13,Spinning
16:16: 19,Pausing
16:16: 24,Pausing
16:20: 09,Pausing
16:20: 14,Pausing
16:20: 34,Spinning
16:20: 39,Spinning
16:21: 12,Spinning
16:21: 17,Spinning
16:21: 20,Pausing
16:21: 25,Pausing
16:21: 26,Spinning
16:21: 31,Spinning
