Time,Activity Mode,Probability Value,Activity Level
0.19,1,27,50
1.2,1,13,50
2.2,1,12,50
3.2,0,81,50
4.21,0,73,50
5.21,0,51,50
6.21,0,49,45
7.21,1,43,45
8.21,0,46,45
9.21,0,73,45
10.21,0,68,45
11.22,0,73,45
12.22,0,85,40
13.22,0,82,40
14.22,0,74,40
15.22,0,99,40
16.22,0,41,40
17.22,1,19,40
18.23,1,20,35
19.23,0,47,35
20.23,1,17,35
21.23,0,70,35
22.23,0,89,35
23.23,0,67,35
24.23,0,70,30
25.23,1,0,30
26.24,0,35,30
27.24,0,35,30
28.24,0,81,30
29.24,0,56,30
30.24,0,49,25
31.24,0,59,25
32.25,0,92,25
