ROS Time,Behaviour
23:52: 18,Pausing
23:52: 23,Pausing
23:52: 35,Pausing
23:52: 40,Pausing
23:53: 01,Pausing
23:53: 06,Pausing
23:53: 18,Pausing
23:53: 23,Pausing
23:53: 39,Spinning
23:53: 44,Spinning
23:53: 45,Spinning
23:53: 50,Spinning
23:53: 52,Pausing
23:53: 57,Pausing
23:54: 17,Pausing
23:54: 22,Pausing
23:54: 55,Spinning
23:55: 00,Spinning
23:55: 02,Pausing
23:55: 07,Pausing
23:55: 15,Pausing
23:55: 20,Pausing
23:55: 23,Spinning
23:55: 28,Spinning
23:55: 37,Pausing
23:55: 42,Pausing
23:56: 47,Spinning
23:56: 52,Spinning
23:57: 25,Spinning
23:57: 30,Spinning
