ID,Time,Timesince,Min Velocity,Max Velocity
2,90.84,0,0,0
1,91.09,0.25,0,0
3,128.84,37.75,0,0
4,138.47,9.63,0,0
5,194.09,55.62,0,0
8,240.85,46.76,0,0
0,243.35,2.5,0,0
9,246.35,3.0,0,0
255,248.35,2.0,0,0
95,257.97,9.62,0,0
7,288.1,30.13,0,0
13,385.59,97.49,0,0
109,386.47,0.88,0,0
15,387.84,1.37,0,0
214,388.21,0.37,0,0
11,420.47,32.26,0,0
6,428.6,8.13,0,0
10,428.85,0.25,0,0
218,438.34,9.49,0,0
12,440.72,2.38,0,0
220,441.71,0.99,0,0
172,443.09,1.38,0,0
151,499.47,56.38,0,0
204,500.84,1.37,0,0
140,504.59,3.75,0,0
14,509.09,4.5,0,0
16,544.34,35.25,0,0
17,625.34,81.0,0,0
240,685.84,60.5,0,0
102,687.34,1.5,0,0
244,700.08,12.74,0,0
153,701.71,1.63,0,0
