ROS Time,Behaviour
23:09: 24,Spinning
23:09: 29,Spinning
23:09: 40,Pausing
23:09: 45,Pausing
23:10: 02,Pausing
23:10: 07,Pausing
23:10: 17,Spinning
23:10: 22,Spinning
23:10: 43,Pausing
23:10: 48,Pausing
23:12: 00,Pausing
23:12: 05,Pausing
23:12: 51,Pausing
23:12: 56,Pausing
23:13: 21,Pausing
23:13: 26,Pausing
23:13: 56,Pausing
23:14: 01,Pausing
23:14: 13,Spinning
23:14: 18,Spinning
23:14: 34,Pausing
23:14: 39,Pausing
23:14: 50,Spinning
23:14: 55,Spinning
23:15: 51,Spinning
23:15: 56,Spinning
23:16: 09,Pausing
23:16: 14,Pausing
