ID,Time,Timesince,ROS Time,Behave Val,Random No,State
1,10.21,0,16:59: 53,50,30,1
2,19.08,8.87,16:59: 53,55,62,2
4,50.83,31.75,17:00: 02,50,88,2
16,61.08,10.25,17:00: 02,45,26,1
3,69.33,8.25,17:00: 34,40,28,1
9,88.46,19.13,17:00: 34,35,83,2
7,98.58,10.12,17:00: 44,30,89,2
13,121.09,22.51,17:00: 44,25,95,2
12,134.22,13.13,17:00: 52,20,98,2
15,170.46,36.24,17:00: 52,15,57,2
10,200.09,29.63,17:01: 11,10,27,2
