ID,Time,Timesince,ROS Time,beHave Val,State
9,12.83,0,15:36: 10,0,0
8,16.83,4.0,15:36: 10,0,0
13,32.46,15.63,15:36: 14,0,0
15,34.21,1.75,15:36: 14,0,0
0,49.83,15.62,15:36: 30,0,0
7,49.96,0.13,15:36: 30,0,0
12,50.21,0.25,15:36: 32,0,0
