ID,Time,Timesince,ROS Time,Max Velocity,State
1,12.05,0,14:39: 39,0,1
4,48.67,36.62,14:39: 39,0,2
3,50.55,1.88,14:40: 15,0,1
9,77.8,27.25,14:40: 16,0,2
13,105.43,27.63,14:40: 17,0,2
12,119.43,14.0,14:40: 17,0,2
7,120.55,1.12,14:40: 45,0,1
15,149.92,29.37,14:40: 45,0,2
10,182.55,32.63,14:41: 12,0,2
6,195.42,12.87,14:41: 12,0,2
