Time,Activity Mode,Probability Value,Activity Level
0.19,1,19,50
1.2,1,30,50
2.21,0,64,50
3.21,0,82,50
4.21,0,55,50
5.21,1,45,50
6.21,0,54,45
7.21,0,60,45
8.21,0,48,45
9.22,1,3,45
10.22,0,54,45
11.22,0,83,45
12.22,0,53,40
13.22,0,64,40
14.22,1,28,40
15.23,0,80,40
16.23,1,30,45
17.23,0,59,50
18.23,1,36,50
19.23,0,87,50
20.23,1,28,50
21.24,1,5,50
22.24,0,89,45
23.24,1,18,45
24.24,1,29,45
25.24,1,29,45
26.24,1,43,45
27.24,1,35,45
28.25,0,73,40
29.25,1,24,40
30.25,0,95,40
31.25,0,63,40
32.25,0,92,40
33.26,1,2,40
34.26,0,64,35
35.26,1,1,35
36.26,0,95,35
37.26,1,19,35
38.26,0,53,35
39.27,0,84,35
40.27,0,99,30
41.27,0,87,30
42.27,0,43,30
43.27,1,0,30
44.27,0,57,30
45.27,0,78,30
46.28,0,73,25
47.28,0,36,25
48.28,0,85,25
49.28,0,42,25
50.28,0,75,25
51.29,1,3,25
52.29,0,60,20
53.29,0,23,20
54.29,1,4,20
55.29,0,55,20
56.29,1,8,20
57.29,0,84,20
58.29,0,22,15
59.3,0,78,15
60.3,0,69,15
61.3,0,68,15
62.3,0,68,15
63.3,0,50,20
64.3,0,90,30
65.31,0,86,30
66.31,0,94,30
67.31,1,6,30
68.31,1,6,30
69.31,0,87,25
70.31,0,83,25
71.31,0,76,25
72.32,0,57,25
73.32,0,88,25
74.32,0,34,25
75.32,1,11,20
76.32,1,3,20
77.32,0,79,20
78.33,0,91,20
79.33,1,15,20
80.33,0,75,20
81.33,0,65,15
82.33,0,55,15
83.33,0,89,15
84.34,0,76,15
85.34,0,89,15
86.34,1,14,15
87.34,0,95,10
88.34,0,65,10
89.34,1,1,15
90.35,0,79,15
91.35,1,1,15
92.35,0,52,15
93.35,0,70,15
94.35,0,42,10
95.35,0,57,10
96.35,0,49,15
97.36,0,26,20
98.36,0,52,20
99.36,0,27,20
100.36,1,4,20
101.36,0,94,20
102.36,0,27,15
103.36,0,87,15
104.37,0,83,15
105.37,0,35,15
106.37,0,24,15
107.37,1,0,15
108.37,0,27,10
109.38,0,54,10
110.38,0,34,10
111.38,0,72,10
112.39,0,56,10
113.39,0,44,10
114.39,0,56,5
115.39,0,99,5
116.4,0,94,5
117.4,0,41,5
118.4,0,14,5
119.4,0,93,5
120.4,0,53,0
121.4,0,29,0
122.4,0,56,0
123.41,0,48,0
124.41,0,47,0
125.41,0,14,0
126.42,1,0,0
127.42,0,65,0
128.42,0,94,0
129.42,0,37,0
130.42,0,54,0
131.42,0,63,0
132.43,0,5,0
133.43,0,97,0
134.43,0,26,0
135.43,0,98,0
136.43,0,37,0
137.43,0,35,0
138.44,0,55,0
139.44,0,31,0
140.44,0,30,0
141.44,0,48,0
142.44,0,28,0
143.44,0,56,0
144.45,0,48,0
145.45,0,79,0
146.45,0,40,0
147.45,0,1,0
148.45,0,77,0
149.45,0,27,0
150.46,0,4,0
151.46,0,77,0
152.46,0,43,0
153.46,0,5,0
154.46,0,93,0
155.46,0,85,0
156.46,0,71,0
157.47,0,38,0
158.47,0,89,0
159.47,0,14,0
160.47,0,74,0
161.47,0,13,0
162.47,0,49,0
163.47,0,86,0
164.48,0,66,15
165.48,0,33,20
166.48,0,57,20
167.48,0,55,20
168.48,1,6,20
169.48,0,86,20
170.49,0,64,15
171.49,0,30,15
172.49,0,59,15
173.49,0,71,15
174.49,0,39,15
175.49,0,79,15
176.49,0,14,10
177.49,0,23,10
178.5,0,53,10
179.5,0,59,10
180.5,0,40,10
181.5,1,2,10
182.5,0,18,5
183.5,0,24,5
184.51,0,39,5
185.51,0,18,5
186.51,0,40,5
187.51,0,75,5
188.51,0,94,0
189.51,0,71,0
190.51,0,44,0
191.52,0,34,0
192.52,0,16,0
193.52,0,22,0
194.52,0,36,0
195.52,0,44,0
196.52,0,8,0
197.52,0,57,0
198.53,0,9,0
199.53,0,95,0
200.53,0,8,0
201.53,0,19,0
202.53,0,27,0
203.53,0,48,0
204.54,0,97,0
205.54,0,20,0
206.54,0,25,0
207.54,0,92,0
208.55,0,74,0
209.55,0,48,0
210.55,0,15,0
211.55,0,48,0
212.55,0,70,0
213.55,0,75,0
214.55,0,97,0
215.56,0,3,0
216.56,0,6,0
217.56,0,4,0
218.56,0,24,0
219.57,1,12,15
220.57,0,75,15
221.57,0,69,15
222.57,1,12,15
223.57,0,70,15
224.57,0,32,10
225.58,0,85,10
226.58,0,49,10
227.58,0,56,10
228.58,0,35,10
229.58,0,78,10
230.58,0,29,5
231.59,0,40,5
232.59,0,18,5
233.59,0,82,5
234.59,0,65,5
235.59,0,22,5
236.59,0,71,0
237.6,0,62,0
238.6,0,43,0
239.6,0,40,0
240.6,0,10,0
241.6,0,84,0
242.6,0,69,0
243.6,0,53,0
