ID,Time,Timesince,Min Velocity,Max Velocity
0,16.00203,0.0,0.05000000074505806,0.20000000298023224
5,43.50687,0.0,0.05000000074505806,0.20000000298023224
6,46.12941,0.0,-51.349998474121094,-51.20000076293945
96,46.25213,0.0,-53.349998474121094,-53.20000076293945
4,85.75642,0.0,-840.3499755859375,-840.2000122070312
7,86.00077,0.0,-844.9500122070312,-845.0
11,137.13506,0.0,-1872.949951171875,-1872.800048828125
12,157.13014,0.0,-2277.949951171875,-2277.800048828125
2,160.75836,0.0,-2351.14990234375,-2351.0
9,169.38893,0.0,-2526.75,-2526.60009765625
158,170.25043,0.0,-2544.14990234375,-2544.0
14,170.75664,0.0,-2554.14990234375,-2554.0
222,171.25093,0.0,-2563.75,-2563.60009765625
13,266.87784,0.0,-4515.14990234375,-4515.0
8,279.12683,0.0,-4760.75,-4760.60009765625
129,319.753,0.0,-5577.35009765625,-5577.2001953125
