ID,Time,Timesince,Min Velocity,Max Velocity
0,2.65,0,0.05000000074505806,0.20000000298023224
6,65.4,62.75,0.05000000074505806,0.20000000298023224
0,98.4,33.0,1187.8499755859375,1188.0
5,98.65,0.25,1196.449951171875,1196.5999755859375
4,98.78,0.13,1194.6500244140625,1194.800048828125
2,114.9,16.12,617.6500244140625,617.7999877929688
11,127.9,13.0,1092.8499755859375,1093.0
12,135.9,8.0,1375.449951171875,1375.5999755859375
14,178.9,43.0,2901.64990234375,2901.800048828125
13,220.4,41.5,4365.85009765625,4366.0
15,230.78,10.38,4723.0498046875,4723.2001953125
8,262.9,32.12,5843.4501953125,5843.60009765625
1,307.9,45.0,7404.0498046875,7404.2001953125
