ID,Time,Timesince,ROS Time,Max Velocity,State
16,20.28,0,15:02: 28,0,1
4,42.78,22.5,15:02: 28,0,2
9,61.28,18.5,15:02: 50,0,2
8,66.78,5.5,15:02: 50,0,1
13,81.41,14.63,15:03: 08,0,2
12,97.15,15.74,15:03: 09,0,2
15,123.53,26.38,15:03: 14,0,2
18,142.91,19.38,15:03: 15,0,2
17,143.87,0.96,15:03: 29,0,1
10,153.15,9.28,15:03: 29,0,2
1,164.03,10.88,15:03: 44,0,2
2,195.53,31.5,15:03: 45,0,2
