Time,Activity Mode,Probability Value,Activity Level
0.19,1,8,50
1.2,0,56,50
2.2,0,86,50
3.2,0,53,50
4.2,1,25,50
5.21,0,56,50
6.21,1,17,50
7.21,0,83,50
8.21,0,69,50
9.21,1,23,50
10.21,1,20,50
11.21,1,48,50
12.21,0,65,50
13.22,1,14,50
14.22,0,96,50
15.22,0,79,50
16.22,0,80,50
17.22,0,66,50
18.22,0,62,50
19.22,0,54,50
20.22,1,18,50
21.23,0,71,50
22.23,1,12,50
23.23,0,93,50
24.23,1,41,50
25.23,1,39,50
26.23,1,25,50
27.23,1,5,50
28.24,1,6,50
29.24,0,98,50
30.24,0,71,50
31.24,1,25,50
32.24,0,63,50
33.24,1,19,50
34.24,1,9,50
35.24,1,12,55
36.25,0,62,55
37.25,0,76,60
38.25,0,93,60
39.25,1,56,60
40.25,1,39,60
41.25,1,19,60
42.25,1,22,60
43.26,0,68,60
44.26,1,40,60
45.26,0,81,60
46.26,0,76,60
47.26,1,12,60
48.26,1,4,60
49.26,0,96,60
50.26,1,41,60
51.27,1,6,60
52.27,1,59,60
