ID,Time,Timesince,Min Velocity,Max Velocity
3,10.74,0,0,0
5,17.61,6.87,0,0
6,20.61,3.0,0,0
4,29.86,9.25,0,0
8,50.61,20.75,0,0
9,53.61,3.0,0,0
255,54.74,1.13,0,0
13,84.49,29.75,0,0
221,85.86,1.37,0,0
220,114.36,28.5,0,0
12,114.61,0.25,0,0
224,115.12,0.51,0,0
212,115.24,0.12,0,0
7,124.99,9.75,0,0
240,137.48,12.49,0,0
153,149.23,11.75,0,0
15,149.36,0.13,0,0
16,153.61,4.25,0,0
10,171.61,18.0,0,0
1,184.99,13.38,0,0
80,192.74,7.75,0,0
0,229.99,37.25,0,0
47,266.61,36.62,0,0
2,267.11,0.5,0,0
14,382.36,115.25,0,0
