ID,Time,Timesince,Min Velocity,Max Velocity
0,6.15581,16339.40139,0.05000000074505806,0.20000000298023224
5,49.66045,16376.75023,0.05000000074505806,0.20000000298023224
96,50.65673,16334.24186,0.05000000074505806,0.20000000298023224
6,51.03259,16333.62145,0.05000000074505806,0.20000000298023224
4,89.28641,16371.49941,0.05000000074505806,0.20000000298023224
11,116.29135,16354.24881,0.05000000074505806,0.20000000298023224
12,156.53856,16353.24314,0.05000000074505806,0.20000000298023224
14,168.90902,16343.6135,0.05000000074505806,0.20000000298023224
158,170.65983,16334.9964,0.05000000074505806,0.20000000298023224
13,205.28562,16365.99695,0.05000000074505806,0.20000000298023224
8,252.65581,16333.61435,0.05000000074505806,0.20000000298023224
