ROS Time,Behaviour
01:04: 41,Pausing
01:04: 46,Pausing
01:04: 56,Pausing
01:05: 01,Pausing
01:05: 19,Pausing
01:05: 24,Pausing
01:05: 40,Spinning
01:05: 45,Spinning
01:05: 56,Pausing
01:06: 01,Pausing
01:06: 16,Pausing
01:06: 21,Pausing
01:06: 32,Spinning
01:06: 37,Spinning
01:06: 39,Pausing
01:06: 44,Pausing
01:07: 00,Pausing
01:07: 05,Pausing
01:07: 31,Pausing
01:07: 36,Pausing
01:08: 01,Pausing
01:08: 06,Pausing
01:08: 06,Pausing
01:08: 11,Pausing
01:08: 56,Spinning
01:09: 01,Spinning
01:09: 29,Pausing
01:09: 34,Pausing
01:09: 34,Spinning
01:09: 39,Spinning
01:10: 19,Spinning
01:10: 24,Spinning
01:10: 47,Pausing
01:10: 52,Pausing
01:11: 09,Pausing
01:11: 14,Pausing
01:11: 25,Pausing
01:11: 30,Pausing
01:11: 48,Pausing
01:11: 53,Pausing
01:12: 13,Pausing
01:12: 18,Pausing
01:12: 25,Pausing
01:12: 30,Pausing
01:12: 47,Pausing
01:12: 52,Pausing
