ID,Time,Timesince,ROS Time,Max Velocity,State
5,20.37,0,18:36: 38,0,1
4,32.12,11.75,18:36: 38,0,2
8,54.5,22.38,18:36: 50,0,2
9,54.62,0.12,18:36: 50,0,1
13,85.63,31.01,18:37: 12,0,2
0,95.87,10.24,18:37: 12,0,2
14,111.12,15.25,18:37: 13,0,1
12,112.13,1.01,18:37: 13,0,2
17,125.25,13.12,18:37: 44,0,2
15,148.87,23.62,18:37: 44,0,2
10,179.12,30.25,18:37: 54,0,2
1,188.49,9.37,18:38: 09,0,1
6,191.74,3.25,18:38: 09,0,2
