Time,Activity Mode,Probability Value,Activity Level
0.2,1,16,50
1.21,1,8,50
2.21,1,5,50
3.21,1,0,50
4.21,1,30,50
5.21,0,70,50
6.22,0,96,55
7.22,1,42,55
8.22,1,12,55
9.22,1,19,55
10.22,1,10,55
11.22,1,30,55
12.22,1,1,55
13.23,1,55,55
14.23,0,61,55
15.23,0,89,50
16.23,1,0,50
17.23,1,14,50
18.23,0,76,50
19.23,0,72,50
20.24,1,26,50
21.24,0,77,50
22.24,0,59,55
23.24,1,27,55
24.24,0,90,55
25.24,0,68,55
26.24,1,51,55
27.25,0,81,55
28.25,0,99,55
29.25,1,41,55
30.25,1,52,55
31.25,0,77,50
32.25,1,19,50
33.25,1,50,50
34.26,0,51,50
35.26,0,74,50
36.26,0,57,50
37.26,1,25,50
38.26,0,52,50
39.26,1,25,50
40.27,1,6,50
41.27,0,91,45
42.27,1,35,45
43.27,0,53,45
44.27,1,21,45
45.27,0,57,45
46.27,1,3,45
47.28,1,33,45
48.28,1,13,45
49.28,1,4,45
50.28,0,49,45
51.28,0,47,40
52.28,1,13,40
53.28,0,67,40
54.29,1,17,40
55.29,1,16,40
56.29,0,71,40
57.29,0,78,40
58.29,1,1,40
59.29,0,65,40
60.29,1,5,40
61.3,0,49,35
62.3,0,93,35
63.3,1,21,35
64.3,0,47,35
65.3,0,88,35
66.3,1,0,35
67.3,0,97,35
68.31,0,57,35
69.31,1,15,35
70.31,0,38,35
71.31,0,75,30
72.31,0,92,30
73.31,0,34,30
74.32,1,4,30
75.32,0,54,30
76.32,1,15,30
77.32,0,80,30
78.32,1,12,30
79.33,0,92,30
80.33,0,62,30
81.33,1,11,25
82.33,1,21,25
83.33,0,100,25
84.33,0,68,25
85.34,0,66,25
86.34,1,2,25
87.34,0,94,25
88.34,1,18,25
89.34,0,48,35
90.34,1,35,35
91.34,0,42,35
92.35,0,80,40
93.35,0,86,40
94.35,1,33,45
95.35,0,61,45
96.35,0,76,45
97.35,1,36,45
98.35,1,3,45
99.36,0,89,45
100.36,0,71,45
101.36,1,31,45
102.36,0,77,45
103.36,1,32,40
104.36,0,85,40
105.36,1,8,40
106.37,1,34,40
107.37,0,62,40
108.37,0,64,40
109.37,0,41,40
110.37,0,89,40
111.37,0,84,40
112.37,0,78,40
113.38,0,90,35
114.38,0,92,35
115.38,0,98,35
116.38,0,75,35
117.38,1,8,35
118.38,1,23,35
119.38,0,57,35
120.39,1,28,35
121.39,0,49,35
122.39,0,57,35
123.39,0,33,30
124.39,1,5,30
125.39,0,80,30
126.39,1,10,30
127.4,1,30,30
128.4,1,11,30
129.4,1,10,30
130.4,0,39,30
131.4,0,71,30
132.4,0,88,30
133.4,1,25,25
134.4,1,2,25
135.41,0,31,25
136.41,0,54,30
137.41,0,33,30
138.41,0,38,30
139.41,0,69,30
140.41,0,84,30
141.42,1,4,30
142.42,1,24,30
143.42,0,39,30
144.42,0,78,30
145.42,0,87,30
146.42,0,50,25
147.42,0,74,25
148.43,1,16,25
149.43,0,34,25
150.43,0,46,25
151.43,1,2,25
152.43,1,1,25
153.43,1,20,25
154.44,0,84,25
155.44,0,96,25
156.44,0,95,20
157.44,0,47,30
158.44,0,68,30
159.44,0,52,30
160.45,1,27,30
161.45,1,1,30
162.45,1,13,30
163.45,0,84,30
164.45,0,51,30
165.45,1,16,30
166.45,0,44,25
167.45,0,64,25
168.46,0,49,25
169.46,0,67,25
170.46,0,88,25
171.46,0,27,25
172.46,1,17,25
173.47,0,78,25
174.47,1,15,25
175.47,0,63,25
176.47,0,30,20
177.47,0,59,20
178.47,1,0,20
179.47,1,18,20
180.47,0,74,20
181.48,1,14,20
182.48,0,95,20
183.48,1,13,20
184.48,0,66,20
185.48,0,87,20
186.48,0,57,15
187.49,1,1,15
188.49,0,97,15
189.49,0,34,15
190.49,0,54,15
191.49,0,83,15
192.49,1,7,15
193.49,0,46,15
194.49,0,92,15
195.5,0,94,15
196.5,0,76,10
197.5,0,40,10
198.5,0,93,10
199.5,0,37,10
200.5,0,80,10
201.51,0,57,10
202.51,0,20,10
203.51,0,70,10
204.51,0,65,10
205.51,0,92,10
206.51,0,94,5
207.52,0,51,5
208.52,0,21,5
209.52,0,81,5
210.52,0,70,5
211.52,0,89,5
212.52,1,0,5
213.52,0,35,5
214.53,0,39,5
215.53,0,32,5
216.53,0,80,0
217.53,0,12,0
218.53,0,42,0
219.53,0,22,0
220.53,0,15,0
221.54,0,17,0
222.54,0,51,0
223.54,0,59,0
224.54,0,98,10
225.54,0,59,10
226.54,0,64,10
227.54,0,41,10
228.55,0,56,10
229.55,0,75,10
230.55,0,40,10
231.55,0,73,10
232.55,0,59,10
233.55,0,68,10
234.55,0,14,5
235.56,0,66,5
236.56,1,1,5
237.56,0,21,5
238.56,0,97,5
239.56,0,50,5
240.56,0,95,5
241.56,0,51,5
242.57,0,13,5
243.57,0,36,5
244.57,0,100,0
245.57,0,52,0
246.57,0,52,0
247.57,0,71,0
248.58,0,64,5
249.58,0,58,5
250.58,0,16,5
251.58,0,75,5
252.58,0,50,5
253.58,0,96,5
254.58,1,1,5
255.59,0,9,5
256.59,0,16,5
257.59,0,10,5
258.59,0,81,0
259.59,0,82,0
260.59,0,79,0
261.59,0,41,0
262.6,0,95,0
263.6,0,31,0
264.6,0,88,0
265.6,0,5,0
266.6,0,15,0
267.6,0,4,0
268.6,0,3,0
269.61,0,23,0
270.61,0,8,0
271.61,0,96,0
272.61,0,19,0
273.61,0,87,0
274.62,0,60,0
275.62,0,85,0
276.62,0,68,0
277.62,0,34,0
278.62,0,29,0
279.62,0,81,0
280.62,0,86,0
281.63,0,99,0
282.63,0,78,0
283.63,0,36,0
284.63,0,79,0
285.63,0,69,0
286.64,0,50,0
287.64,0,98,0
288.64,0,92,0
289.64,0,93,0
290.64,0,70,0
291.64,0,33,0
292.64,0,16,0
293.64,0,66,0
294.65,0,11,0
295.65,0,52,0
296.65,0,35,0
297.65,0,13,0
298.65,0,17,0
299.65,0,4,0
300.65,0,88,0
301.66,0,88,0
302.66,0,69,0
303.66,0,9,0
304.66,0,48,0
305.66,0,44,0
306.67,0,14,0
307.67,0,32,0
308.67,0,12,0
309.67,0,88,0
310.67,0,49,0
311.67,0,8,0
312.67,0,66,0
313.68,0,1,0
314.68,0,59,0
315.68,0,49,0
316.68,0,79,0
317.68,0,55,0
318.69,0,12,0
319.69,0,87,0
320.69,0,73,0
321.69,0,17,15
322.69,0,98,15
323.69,1,7,15
324.69,0,41,15
325.7,0,52,15
326.7,0,80,15
327.7,0,36,15
328.7,0,45,15
329.7,0,20,15
330.7,0,60,10
331.71,0,17,10
332.71,0,29,10
333.71,0,14,10
334.71,0,58,10
335.71,0,78,10
336.71,0,62,10
337.71,0,82,10
338.72,0,51,10
339.72,0,41,10
340.72,0,69,5
341.72,0,24,5
342.72,0,97,5
343.72,0,76,5
344.72,0,61,5
345.73,0,84,5
346.73,0,31,5
347.73,0,84,5
348.73,0,20,5
349.73,0,6,5
350.73,0,92,0
351.74,0,71,0
352.74,0,10,0
353.74,0,48,0
354.74,0,6,0
355.74,0,47,0
356.74,0,11,0
357.74,0,66,0
358.75,0,88,0
359.75,0,47,0
360.75,0,89,0
361.75,0,18,0
362.75,0,30,0
363.75,0,16,0
364.76,0,79,0
365.76,0,69,0
366.76,0,20,0
367.77,0,75,0
368.77,0,10,0
369.77,0,60,0
370.77,0,67,0
371.77,0,12,0
372.77,0,11,0
373.78,0,26,0
374.78,0,37,0
375.78,0,95,5
376.78,0,63,5
377.78,0,59,10
378.79,0,65,10
379.79,0,81,10
380.79,0,34,10
381.79,0,19,10
382.79,0,90,10
383.79,0,45,10
384.79,0,76,10
385.8,0,46,10
386.8,0,47,5
387.8,1,2,5
388.8,0,56,5
389.8,0,64,5
390.8,0,40,5
391.8,0,26,5
392.8,0,31,5
393.81,0,88,5
394.81,0,72,5
395.81,0,17,5
396.81,0,58,0
397.81,0,34,5
398.81,0,6,5
399.82,0,87,5
400.82,0,30,5
401.82,0,15,5
402.82,0,12,5
403.82,0,54,5
404.82,1,3,5
405.82,0,43,5
406.83,0,61,0
407.83,0,96,0
408.83,0,94,0
409.83,0,59,0
410.83,0,13,0
411.83,0,25,0
412.84,0,17,0
413.84,0,91,0
414.84,0,44,0
415.84,0,28,0
416.84,0,47,0
417.84,0,47,0
418.85,0,64,0
419.85,0,53,0
420.85,0,57,0
421.85,0,47,0
422.85,0,23,0
423.85,0,77,0
424.86,0,35,0
425.86,0,41,0
426.86,0,32,0
427.86,0,99,0
428.86,0,83,0
429.87,0,14,0
430.87,0,3,0
431.87,0,81,0
432.87,0,4,0
433.87,0,57,0
434.87,0,67,0
435.87,0,92,0
436.87,0,16,0
437.88,0,44,0
438.88,0,5,0
439.88,0,80,0
440.88,0,95,0
441.88,0,99,0
442.88,0,7,0
443.89,0,93,0
444.89,0,54,0
445.89,0,97,0
446.89,0,45,0
447.89,0,97,0
448.89,0,65,0
449.89,0,31,0
450.9,0,31,0
451.9,0,67,0
452.9,0,4,0
453.9,0,77,0
454.9,0,83,0
455.9,0,83,0
456.9,0,40,0
457.91,0,68,0
458.91,0,42,0
459.91,0,60,0
460.91,0,94,0
461.91,0,54,0
462.92,0,59,0
463.92,0,77,0
464.92,0,21,0
465.92,0,5,0
466.92,0,12,0
467.92,0,56,0
468.93,0,41,0
469.93,0,100,0
470.93,0,10,0
471.93,0,81,0
472.93,0,45,0
473.93,0,44,0
474.93,0,69,0
475.94,0,79,0
476.94,0,45,0
477.94,0,30,0
478.94,0,15,0
479.94,0,38,0
480.94,0,40,0
481.94,0,91,0
482.95,0,20,0
483.95,0,20,0
484.95,0,48,0
485.95,0,47,0
486.95,1,0,0
487.95,0,58,0
488.95,0,73,5
489.95,1,5,5
490.96,0,9,5
491.96,0,36,5
492.96,0,41,5
493.96,0,59,5
494.96,0,39,5
495.96,0,88,5
496.96,0,25,5
497.97,0,80,0
498.97,0,10,0
499.97,0,13,0
500.97,0,37,0
501.97,0,64,0
502.97,0,50,0
503.98,0,1,0
504.98,0,38,0
505.98,0,48,0
506.98,0,52,0
507.98,1,0,0
508.98,0,47,0
509.98,0,68,0
510.99,0,44,0
511.99,0,22,0
512.99,0,67,0
513.99,0,96,0
514.99,0,82,0
515.99,0,38,0
516.99,0,15,0
518.0,0,31,0
519.0,0,84,0
520.0,0,89,0
521.0,0,8,0
522.0,0,96,0
523.0,0,9,0
524.0,0,71,0
525.0,0,91,0
526.01,0,20,0
527.01,0,17,0
528.01,0,22,0
529.01,0,53,0
530.01,0,94,0
531.02,0,70,0
532.02,0,13,0
533.02,0,51,0
534.02,0,75,0
535.02,0,35,0
536.02,0,16,0
537.03,0,39,0
