ID,Time,Timesince,ROS Time,Max Velocity,State
1,12.66,0,18:45: 17,0,1
5,36.65,23.99,18:45: 17,0,2
4,48.15,11.5,18:45: 41,0,2
9,81.41,33.26,18:45: 41,0,2
6,88.28,6.87,18:45: 52,0,2
8,89.03,0.75,18:45: 52,0,1
13,112.78,23.75,18:46: 26,0,2
0,138.03,25.25,18:46: 26,0,1
14,138.16,0.13,18:46: 33,0,2
12,150.66,12.5,18:46: 33,0,2
17,162.53,11.87,18:46: 33,0,2
15,180.03,17.5,18:46: 33,0,2
10,210.28,30.25,18:46: 57,0,2
