ID,Time,Timesince,ROS Time,Max Velocity,State
0,1.42,0,20230919163218,0,2
22,9.67,8.25,20230919163226,0,1
23,12.29,2.62,20230919163226,0,2
7,19.92,7.63,20230919163229,0,2
25,26.29,6.37,20230919163229,0,1
