ID,Time,Timesince,Min Velocity,Max Velocity,State
5,3.76,0,0,0,0
8,42.27,38.51,0,0,0
253,45.88,3.61,0,0,0
9,46.38,0.5,0,0,0
144,48.63,2.25,0,0,0
13,69.76,21.13,0,0,0
175,72.01,2.25,0,0,0
15,72.51,0.5,0,0,0
12,100.5,27.99,0,0,0
10,101.01,0.51,0,0,0
4,102.13,1.12,0,0,0
212,103.13,1.0,0,0,0
16,142.88,39.75,0,0,0
218,160.64,17.76,0,0,0
1,170.03,9.39,0,0,0
2,186.51,16.48,0,0,0
80,193.14,6.63,0,0,0
0,202.28,9.14,0,0,0
