Time,Activity Mode,Probability Value,Activity Level
317.62,0,5,0
318.62,0,1,0
319.62,0,54,0
320.63,0,2,0
321.63,0,16,0
322.63,0,22,0
323.63,0,82,0
324.63,0,9,0
325.63,0,6,0
326.64,0,94,0
327.64,0,15,0
328.64,0,1,0
329.64,0,8,0
330.64,0,51,0
331.64,0,74,0
332.64,0,15,0
333.64,0,39,0
334.65,0,42,10
335.65,0,68,10
336.65,0,32,15
337.65,0,28,15
338.65,0,90,15
339.65,0,32,15
340.65,0,31,15
341.66,0,53,10
342.66,1,6,10
343.66,0,57,10
344.66,0,71,10
345.66,0,36,10
346.66,1,7,10
347.66,0,49,5
348.66,0,72,5
349.67,0,17,5
350.67,0,86,5
351.67,0,24,5
352.67,0,41,5
353.67,0,58,0
354.67,0,95,0
355.67,0,7,0
356.67,0,40,0
357.68,0,60,0
358.68,0,71,0
359.68,0,18,0
360.68,0,69,0
361.68,0,34,0
362.68,0,94,0
363.68,0,42,0
364.69,0,30,0
365.69,0,43,0
366.69,0,18,0
367.69,0,94,0
368.69,0,53,0
369.69,0,85,0
370.69,0,36,0
371.69,0,95,0
372.69,0,37,0
373.7,0,9,0
374.7,0,72,0
375.7,0,91,0
376.7,0,90,0
377.7,0,34,0
378.7,0,30,0
379.71,0,71,0
380.71,0,99,0
381.71,0,30,0
382.71,0,23,0
383.71,0,77,0
384.72,0,5,0
385.72,0,80,0
386.72,0,3,0
387.72,0,87,0
388.72,0,99,0
389.72,0,1,0
390.72,0,86,0
391.73,0,4,0
392.73,0,28,0
393.73,0,16,0
394.73,0,20,0
395.73,0,82,0
396.73,0,31,0
397.73,0,12,0
398.73,0,10,0
399.73,0,62,0
400.74,0,33,20
401.74,0,58,20
402.74,1,15,20
403.74,0,88,20
404.74,0,99,20
405.74,1,6,15
406.74,0,65,15
407.75,0,66,15
408.75,0,66,15
409.75,0,50,15
410.75,0,97,15
411.75,0,13,10
412.75,0,18,10
413.75,0,86,10
414.76,0,34,10
415.76,0,50,10
416.76,0,42,10
417.76,0,19,5
418.76,0,53,5
419.76,0,62,5
420.76,0,91,5
421.76,1,2,5
422.77,1,2,5
423.77,0,68,0
424.77,0,32,0
425.77,0,35,0
426.77,0,18,0
427.77,0,55,0
428.77,0,78,0
429.78,0,78,0
430.78,0,68,0
431.78,0,51,0
432.78,0,90,0
433.78,0,97,0
434.78,0,76,0
435.79,0,75,0
436.79,0,76,0
437.79,0,97,0
438.79,0,96,0
439.79,0,34,0
440.79,0,25,0
441.8,1,0,0
442.8,0,28,0
443.8,0,74,0
444.8,0,8,0
445.8,0,57,0
446.8,0,58,5
447.8,0,41,10
448.81,0,98,10
449.81,0,21,10
450.81,0,75,10
451.81,0,17,10
452.81,0,15,5
453.81,0,85,5
454.81,0,54,5
455.82,0,26,5
456.82,0,34,5
457.82,0,21,5
458.82,0,69,0
459.82,0,51,0
460.83,0,8,0
461.83,0,58,0
462.83,0,80,0
463.83,0,96,0
464.83,0,40,5
465.83,0,57,5
466.84,0,19,5
467.84,0,68,5
468.84,0,36,5
469.84,0,35,0
470.84,0,49,0
471.84,0,40,0
472.84,0,90,0
473.84,0,21,0
474.85,0,11,0
475.85,0,77,0
476.85,0,29,0
477.85,0,47,0
478.85,0,72,0
479.85,0,3,0
480.85,0,84,0
481.86,0,77,0
482.86,0,67,0
483.86,0,1,0
484.86,0,48,0
485.86,0,84,0
486.86,0,67,0
487.86,0,41,0
488.86,0,16,0
489.87,0,40,0
490.87,0,55,0
491.87,0,21,0
492.87,0,69,0
493.87,0,76,0
494.87,0,40,0
495.88,0,24,0
496.88,0,20,0
497.88,0,77,0
498.88,0,96,0
499.88,0,81,0
500.88,0,67,0
501.88,0,73,0
502.89,0,55,0
503.89,0,10,0
504.89,0,57,0
505.89,0,84,0
506.89,0,76,0
507.89,0,46,0
508.89,0,47,0
509.9,0,24,0
510.9,0,99,0
511.9,0,68,0
512.9,0,19,0
513.9,0,52,0
514.9,0,96,0
515.91,0,37,0
516.91,0,61,0
517.91,0,55,0
518.91,0,60,0
519.91,0,71,5
520.91,0,50,5
521.91,0,33,5
522.92,0,51,5
523.92,0,47,5
524.92,0,74,0
525.92,0,30,0
526.92,0,23,0
527.92,0,20,0
528.92,0,44,0
529.92,0,44,0
530.93,0,68,0
531.93,0,14,0
532.93,0,35,0
533.93,0,96,0
534.93,0,14,0
535.93,0,13,0
536.93,0,94,0
537.93,0,46,0
538.93,0,15,0
539.94,0,33,0
540.94,0,72,0
541.94,0,2,0
542.94,0,62,0
543.94,0,48,0
544.94,0,75,0
545.95,0,23,0
546.95,0,88,0
547.95,0,85,0
548.95,0,84,0
549.95,0,11,0
550.95,0,31,0
551.96,0,39,0
552.96,0,17,0
553.96,0,65,0
554.96,0,48,0
555.96,0,65,0
556.96,0,42,0
557.96,0,69,0
558.97,0,80,0
559.97,0,45,0
560.97,0,39,0
561.97,0,82,0
562.97,0,28,0
563.97,0,38,0
564.98,0,11,0
565.98,0,71,0
566.98,0,67,0
567.98,0,42,0
568.98,0,32,0
569.98,0,56,0
570.98,0,51,0
571.98,0,3,0
572.99,0,90,0
573.99,0,30,0
574.99,0,84,0
575.99,0,10,0
576.99,0,66,0
577.99,0,76,0
579.0,0,16,0
580.0,0,2,0
581.0,0,82,0
582.0,0,23,0
583.0,0,82,0
584.0,0,40,0
585.01,0,7,0
586.01,0,1,0
587.01,0,4,0
588.01,0,24,0
589.01,0,67,0
590.01,0,6,0
591.01,0,81,0
592.02,0,81,0
593.02,0,77,0
594.02,0,81,0
595.02,0,31,0
596.02,0,81,0
597.03,0,26,0
598.03,0,71,0
599.03,0,94,0
600.03,0,93,0
601.03,0,38,0
602.03,0,64,0
603.03,0,89,0
604.04,0,16,0
605.04,0,50,0
606.04,0,4,0
607.04,0,47,0
608.04,0,32,0
609.04,0,40,0
610.05,0,45,0
611.05,0,22,0
612.05,0,20,0
613.05,0,49,0
614.05,0,73,0
615.05,0,74,0
616.06,0,2,0
617.06,0,34,0
618.06,0,43,0
619.06,0,1,0
620.06,0,94,0
621.06,0,71,0
622.06,0,32,0
623.07,0,79,0
624.07,0,30,0
625.07,0,93,0
626.07,0,76,0
627.07,0,10,0
628.07,0,80,0
629.08,0,43,0
630.08,0,6,0
631.08,0,3,0
632.08,0,16,0
633.08,0,10,0
634.08,1,0,10
635.08,0,77,15
636.09,0,27,15
637.09,0,68,15
638.09,1,11,15
639.09,0,62,15
640.09,0,57,10
641.09,1,1,10
642.09,0,98,10
643.1,0,31,10
644.1,0,91,10
645.1,0,56,10
646.1,0,66,5
647.1,0,31,5
648.1,0,34,5
649.1,0,94,5
650.1,0,51,10
651.11,0,21,10
652.11,0,96,10
653.11,0,39,10
654.11,0,18,10
655.11,0,41,5
656.11,0,85,5
657.11,0,37,5
658.12,0,26,5
659.12,1,3,5
660.12,0,62,5
661.12,0,34,0
662.12,0,68,0
663.13,0,50,0
664.13,0,78,0
665.13,0,71,0
666.13,0,12,0
667.13,0,27,0
668.13,0,27,0
669.13,0,6,0
670.14,0,80,0
671.14,0,20,0
672.14,0,99,0
673.14,0,12,0
674.14,0,58,0
675.14,0,59,0
676.15,1,0,0
677.15,0,22,0
678.15,0,73,0
679.15,0,30,0
680.15,0,83,0
681.16,0,26,0
682.16,0,43,0
683.16,0,77,0
684.16,0,76,0
685.16,0,17,0
686.16,0,27,0
687.17,0,21,0
688.17,0,2,0
689.17,0,92,0
690.17,0,99,0
691.17,0,19,0
692.17,0,22,0
693.18,0,81,0
694.18,0,14,0
695.18,0,4,0
696.18,0,6,0
