Time,Behaviour
16:54: 45,Spinning
16:54: 50,Spinning
16:54: 54,Pausing
16:54: 59,Pausing
16:55: 20,Pausing
16:55: 25,Pausing
16:55: 29,Spinning
16:55: 34,Spinning
16:56: 07,Pausing
16:56: 12,Pausing
16:56: 12,Spinning
16:56: 17,Spinning
16:56: 36,Spinning
16:56: 41,Spinning
16:57: 03,Pausing
16:57: 08,Pausing
16:57: 34,Spinning
16:57: 39,Spinning
16:58: 04,Spinning
16:58: 09,Spinning
