ID,Time,Timesince,ROS Time,Behave Val,Random NoState
8,1.07,0,16:01: 36,50,2,1
9,3.44,2.37,16:01: 36,55,51,1
4,21.44,18.0,16:01: 38,60,42,1
13,30.94,9.5,16:01: 38,55,51,1
12,54.06,23.12,16:01: 56,50,12,1
15,89.56,35.5,16:01: 56,45,67,2
