ID,Time,Timesince,ROS Time,Behave Val,Random No,State
10,4.32,0,16:49: 12,50,81,2
4,5.82,1.5,16:49: 12,55,81,2
1,27.56,21.74,16:49: 13,60,11,1
8,30.32,2.76,16:49: 13,55,11,1
3,57.95,27.63,16:49: 35,60,68,2
16,63.31,5.36,16:49: 35,55,51,1
9,105.32,42.01,16:49: 38,60,42,1
0,117.19,11.87,16:49: 38,55,47,2
13,146.82,29.63,16:50: 06,55,85,2
15,148.07,1.25,16:50: 06,50,77,2
