ID,Time,Timesince,ROS Time,Behave Val,Random No,State
9,28.07,0,16:38: 52,50,40,1
7,28.94,0.87,16:38: 52,55,40,1
16,39.19,10.25,16:38: 53,60,58,1
8,46.69,7.5,16:38: 53,55,28,1
4,80.69,34.0,16:39: 03,50,39,1
0,105.94,25.25,16:39: 03,45,84,1
13,139.44,33.5,16:39: 11,45,35,2
12,169.56,30.12,16:39: 11,40,87,1
15,212.69,43.13,16:39: 45,35,31,2
10,253.19,40.5,16:39: 45,30,92,2
1,273.32,20.13,16:40: 10,25,39,2
