ROS Time,Behaviour
09:53: 33,Pausing
09:53: 38,Pausing
09:53: 40,Pausing
09:53: 45,Pausing
09:53: 45,Spinning
09:53: 50,Spinning
09:54: 04,Pausing
09:54: 09,Pausing
09:56: 15,Pausing
09:56: 20,Pausing
09:56: 28,Spinning
09:56: 33,Spinning
09:56: 35,Spinning
09:56: 40,Spinning
09:57: 42,Pausing
09:57: 47,Pausing
09:58: 58,Pausing
09:59: 03,Pausing
09:59: 12,Spinning
09:59: 17,Spinning
10:00: 11,Pausing
10:00: 16,Pausing
10:01: 29,Spinning
10:01: 34,Spinning
10:01: 42,Spinning
10:01: 47,Spinning
10:01: 53,Pausing
10:01: 58,Pausing
10:01: 59,Pausing
10:02: 04,Pausing
10:02: 13,Pausing
10:02: 18,Pausing
10:03: 41,Pausing
10:03: 46,Pausing
