ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,42.95,0,09:52: 25,50,54,0
7,111.09,68.14,09:52: 25,55,49,1
5,112.21,1.12,09:53: 33,60,91,0
16,113.71,1.5,09:53: 33,65,1,1
0,117.46,3.75,09:53: 34,70,80,0
4,120.21,2.75,09:53: 34,70,91,0
7,120.33,0.12,09:53: 35,75,91,1
5,120.47,0.14,09:53: 35,80,52,0
4,121.83,1.36,09:53: 39,85,86,1
0,123.47,1.64,09:53: 42,90,83,1
6,142.46,18.99,09:53: 42,90,25,1
3,272.96,130.5,09:53: 42,95,79,1
7,273.08,0.12,09:53: 42,95,79,1
5,273.12,0.04,09:53: 42,100,79,1
14,273.46,0.34,09:53: 42,100,79,1
3,273.84,0.38,09:53: 44,100,71,1
4,273.96,0.12,09:53: 44,100,71,1
6,286.21,12.25,09:53: 45,100,6,1
0,286.26,0.05,09:54: 04,100,6,1
6,286.34,0.08,09:54: 04,100,6,1
4,286.37,0.03,09:56: 15,100,6,1
5,293.58,7.21,09:56: 15,100,64,1
15,360.45,66.87,09:56: 15,100,50,1
7,436.71,76.26,09:56: 15,100,34,1
5,436.76,0.05,09:56: 15,100,34,1
7,436.96,0.2,09:56: 15,100,86,1
0,437.21,0.25,09:56: 15,100,86,1
6,449.96,12.75,09:56: 15,100,43,1
8,509.58,59.62,09:56: 16,100,72,1
16,587.33,77.75,09:56: 16,100,32,1
4,599.84,12.51,09:56: 16,100,45,1
6,601.22,1.38,09:56: 16,100,95,1
3,611.34,10.12,09:56: 28,100,88,1
7,611.83,0.49,09:56: 28,100,88,1
5,612.08,0.25,09:56: 28,100,84,1
14,617.34,5.26,09:56: 28,100,39,1
