ID,Time,Timesince,Min Velocity,Max Velocity,State
8,13.67,0,0,0,0
255,16.17,2.5,0,0,0
9,17.29,1.12,0,0,0
144,19.04,1.75,0,0,0
13,38.16,19.12,0,0,0
189,42.04,3.88,0,0,0
68,59.67,17.63,0,0,0
14,59.79,0.12,0,0,0
0,60.17,0.38,0,0,0
16,101.05,40.88,0,0,0
10,118.54,17.49,0,0,0
1,126.91,8.37,0,0,0
80,131.67,4.76,0,0,0
192,175.43,43.76,0,0,0
15,217.67,42.24,0,0,0
2,218.16,0.49,0,0,0
3,236.81,18.65,0,0,0
5,242.92,6.11,0,0,0
102,247.05,4.13,0,0,0
6,247.41,0.36,0,0,0
4,256.17,8.76,0,0,0
141,302.67,46.5,0,0,0
212,377.44,74.77,0,0,0
