ID,Time,Timesince,Min Velocity,Max Velocity,State
12,4.72,0,0,0,0
16,34.34,29.62,0,0,0
10,50.59,16.25,0,0,0
1,60.09,9.5,0,0,0
4,61.33,1.24,0,0,0
0,61.47,0.14,0,0,0
6,64.09,2.62,0,0,0
80,66.71,2.62,0,0,0
2,94.71,28.0,0,0,0
