ID,Time,Timesince,Min Velocity,Max Velocity
0,9.22,0,0.05000000074505806,0.20000000298023224
6,36.73,27.51,0.05000000074505806,0.20000000298023224
4,63.6,26.87,943.6500244140625,943.7999877929688
14,68.61,5.01,1117.050048828125,1117.199951171875
5,68.73,0.12,1115.449951171875,1115.5999755859375
255,87.36,18.63,466.45001220703125,466.6000061035156
253,87.98,0.62,485.6499938964844,485.79998779296875
11,108.36,20.38,-220.35000610351562,-220.1999969482422
12,126.11,17.75,396.8500061035156,397.0
13,192.86,66.75,2714.64990234375,2714.800048828125
8,203.1,10.24,3069.64990234375,3069.800048828125
10,212.73,9.63,3405.25,3405.39990234375
