ROS Time,Behaviour
19:21: 00,Spinning
19:21: 05,Spinning
19:21: 27,Pausing
19:21: 32,Pausing
19:22: 05,Spinning
19:22: 10,Spinning
19:22: 32,Spinning
19:22: 37,Spinning
19:22: 49,Spinning
19:22: 54,Spinning
19:24: 01,Spinning
19:24: 06,Spinning
19:25: 13,Pausing
19:25: 18,Pausing
19:25: 59,Pausing
19:26: 04,Pausing
19:26: 21,Spinning
19:26: 26,Spinning
19:26: 37,Spinning
19:26: 42,Spinning
19:27: 26,Spinning
19:27: 31,Spinning
19:27: 49,Spinning
19:27: 54,Spinning
19:28: 35,Pausing
19:28: 40,Pausing
19:29: 06,Spinning
19:29: 11,Spinning
19:32: 24,Spinning
19:32: 29,Spinning
19:33: 23,Spinning
19:33: 28,Spinning
19:33: 48,Spinning
19:33: 53,Spinning
19:34: 24,Pausing
19:34: 29,Pausing
