ROS Time,Behaviour
09:09: 33,Pausing
09:09: 38,Pausing
09:09: 54,Spinning
09:09: 59,Spinning
09:11: 21,Pausing
09:11: 26,Pausing
09:12: 04,Pausing
09:12: 09,Pausing
09:12: 14,Pausing
09:12: 19,Pausing
09:14: 19,Pausing
09:14: 24,Pausing
09:14: 24,Spinning
09:14: 29,Spinning
09:14: 43,Pausing
09:14: 48,Pausing
09:16: 36,Spinning
09:16: 41,Spinning
09:16: 52,Pausing
09:16: 57,Pausing
09:17: 51,Pausing
09:17: 56,Pausing
09:19: 08,Pausing
09:19: 13,Pausing
09:19: 26,Pausing
09:19: 31,Pausing
