ID,Time,Timesince,ROS Time,Behave Val,Random NoState
10,2.41,0,16:03: 49,50,47,1
1,21.03,18.62,16:03: 49,55,79,2
4,66.29,45.26,16:04: 07,50,60,2
3,78.78,12.49,16:04: 07,45,77,2
16,85.66,6.88,16:04: 53,40,21,1
5,91.78,6.12,16:04: 53,35,15,1
9,115.66,23.88,16:05: 05,30,13,1
2,132.16,16.5,16:05: 05,25,94,2
