ID,Time,Timesince,ROS Time,beHave Val,State
1,11.74,0,15:46: 45,0,1
3,37.49,25.75,15:46: 45,0,1
4,57.87,20.38,15:47: 11,0,1
5,65.12,7.25,15:47: 11,0,2
9,93.49,28.37,15:47: 31,0,2
13,130.62,37.13,15:47: 32,0,2
12,150.12,19.5,15:47: 39,0,1
14,162.99,12.87,15:47: 39,0,2
17,167.87,4.88,15:48: 06,0,2
15,198.37,30.5,15:48: 06,0,2
10,230.12,31.75,15:48: 43,0,2
6,244.99,14.87,15:48: 43,0,2
2,290.12,45.13,15:49: 03,0,2
